node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	1.62E+001	5.03E+000	5.67E-003	1.56E-008	1.52E-014
5	1.29E+001	9.62E-001	1.35E-004	4.98E-010	8.18E-016
9	1.63E+001	2.39E-001	4.31E-006	1.56E-011	1.01E-015
17	7.62E+000	1.17E-002	1.35E-007	4.89E-013	3.35E-015
33	2.57E+000	4.08E-004	4.23E-009	1.57E-014	5.34E-015
65	5.13E-001	1.31E-005	1.32E-010	7.67E-015	9.57E-015
129	3.29E-002	4.12E-007	4.13E-012	1.42E-014	2.13E-014
257	1.22E-003	1.29E-008	1.30E-013	3.04E-014	4.17E-014
513	3.98E-005	4.03E-010	2.58E-014	6.19E-014	8.25E-014
1025	1.26E-006	1.26E-011	5.60E-014	1.22E-013	1.62E-013
2049	3.94E-008	3.93E-013	1.12E-013	2.43E-013	3.33E-013
4097	1.23E-009	2.41E-014	2.22E-013	4.96E-013	6.77E-013
8193	3.85E-011	4.35E-014	4.40E-013	9.90E-013	1.34E-012
16385	1.20E-012	8.74E-014	8.85E-013	1.99E-012	2.67E-012
32769	4.48E-14	1.75E-13	1.76E-12	3.97E-12	5.35E-12
65537	4.22E-14	3.53E-13	3.53E-12	7.96E-12	1.07E-11
131073	7.23E-14	7.09E-13	7.03E-12	1.59E-11	2.14E-11
262145	1.38E-13	1.41E-12	1.41E-11	3.18E-11	4.28E-11
524289	2.94E-13	2.83E-12	2.82E-11	6.36E-11	8.57E-11
1048577	5.59E-13	5.66E-12	5.65E-11	1.27E-10	1.71E-10
2097153	0	0	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
