node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	5.51E+002	2.02E+001	3.54E-002	2.84E-006	2.81E-010
5	3.61E+002	2.07E+000	1.75E-003	1.81E-007	1.80E-011
9	3.71E+002	5.05E-001	1.12E-004	1.14E-008	1.13E-012
17	1.93E+002	5.76E-002	7.04E-006	7.12E-010	7.07E-014
33	4.44E+001	4.19E-003	4.41E-007	4.45E-011	4.41E-015
65	8.05E-001	2.72E-004	2.76E-008	2.78E-012	6.81E-016
129	1.25E-001	1.72E-005	1.72E-009	1.73E-013	1.30E-015
257	9.95E-003	1.08E-006	1.08E-010	1.29E-014	1.53E-015
513	6.60E-004	6.73E-008	6.73E-012	1.60E-014	7.31E-015
1025	4.19E-005	4.21E-009	4.21E-013	3.22E-014	1.24E-014
2049	2.63E-006	2.63E-010	4.96E-014	6.15E-014	2.00E-014
4097	1.64E-007	1.64E-011	9.01E-014	1.23E-013	4.24E-014
8193	1.03E-008	1.03E-012	1.92E-013	2.44E-013	9.25E-014
16385	6.42E-010	8.08E-014	3.73E-013	4.99E-013	1.83E-013
32769	4.03E-11	8.20E-14	7.45E-13	9.97E-13	3.59E-13
65537	3.91E-12	1.81E-13	1.50E-12	1.98E-12	7.17E-13
131073	3.74E-12	8.56E-13	3.02E-12	3.99E-12	1.46E-12
262145	3.33E-12	6.41E-13	6.02E-12	7.95E-12	2.90E-12
524289	2.09E-11	1.31E-12	1.20E-11	1.58E-11	5.80E-12
1048577	1.46E-11	2.36E-12	2.37E-11	3.17E-11	1.16E-11
2097153	0	0	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
