node number	L=0.01	L=0.1	L=1	L=10	L=100
3	9.79E-001	6.03E-001	2.56E-002	9.86E-007	1.02E-011
5	4.60E-001	7.72E-001	1.25E-003	6.29E-008	6.96E-013
9	1.30E+000	3.84E-001	7.97E-005	3.95E-009	2.43E-013
17	6.39E-001	4.20E-002	5.01E-006	2.47E-010	4.54E-013
33	7.66E-001	3.00E-003	3.13E-007	1.55E-011	8.03E-013
65	6.05E-001	1.94E-004	1.96E-008	1.00E-012	1.76E-012
129	9.25E-002	1.22E-005	1.22E-009	3.56E-013	3.45E-012
257	7.14E-003	7.65E-007	7.65E-011	6.59E-013	6.94E-012
513	4.70E-004	4.78E-008	4.79E-012	1.36E-012	1.39E-011
1025	2.98E-005	2.99E-009	3.63E-013	2.68E-012	2.78E-011
2049	1.87E-006	1.87E-010	4.03E-013	5.37E-012	5.57E-011
4097	1.17E-007	1.17E-011	8.03E-013	1.08E-011	1.12E-010
8193	7.30E-009	7.47E-013	1.62E-012	2.16E-011	2.22E-010
16385	4.56E-010	3.25E-013	3.24E-012	4.33E-011	4.44E-010
32769	2.85E-11	6.45E-13	6.46E-12	8.65E-11	8.86E-10
65537	1.79E-12	1.29E-12	1.29E-11	1.73E-10	1.78E-09
131073	2.94E-13	2.58E-12	0	0	0
262145	5.28E-13	5.16E-12	0	0	0
524289	1.05E-12	1.03E-11	0	0	0
1048577	2.08E-12	2.06E-11	0	0	0
2097153	4.16E-12	4.12E-11	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
