node number	L=0.01	L=0.1	L=1	L=10	L=100
3	1.79E-002	5.54E-002	6.24E-004	2.34E-008	2.43E-013
5	1.42E-002	1.06E-002	1.49E-005	7.47E-010	1.32E-014
9	1.79E-002	2.63E-003	4.74E-007	2.35E-011	2.73E-014
17	8.38E-003	1.29E-004	1.49E-008	7.34E-013	5.15E-014
33	2.82E-003	4.49E-006	4.65E-010	2.63E-014	1.06E-013
65	5.64E-004	1.44E-007	1.45E-011	1.93E-014	2.04E-013
129	3.62E-005	4.53E-009	4.54E-013	3.88E-014	3.72E-013
257	1.34E-006	1.42E-010	1.43E-014	7.87E-014	7.93E-013
513	4.38E-008	4.44E-012	3.20E-015	1.54E-013	1.55E-012
1025	1.38E-009	1.39E-013	5.95E-015	3.02E-013	3.07E-012
2049	4.33E-011	4.33E-015	1.25E-014	5.92E-013	6.21E-012
4097	1.35E-012	2.68E-016	2.43E-014	1.21E-012	1.25E-011
8193	4.23E-014	4.86E-016	4.91E-014	2.41E-012	2.52E-011
16385	1.32E-015	9.60E-016	9.63E-014	4.83E-012	5.00E-011
32769	4.81E-17	1.96E-15	1.92E-13	9.65E-12	1.00E-10
65537	4.65E-17	3.90E-15	3.88E-13	1.93E-11	2.01E-10
131073	8.15E-17	7.82E-15	0	0	0
262145	1.53E-16	1.56E-14	0	0	0
524289	3.05E-16	3.13E-14	0	0	0
1048577	6.18E-16	6.26E-14	0	0	0
2097153	1.25E-15	1.25E-13	0	0	0
