node number	L=0.01	L=0.1	L=1	L=10	L=100
3	9.92E-004	3.63E-003	6.37E-004	2.50E-006	2.59E-009
5	6.49E-004	3.73E-004	3.15E-005	1.59E-007	1.66E-010
9	6.68E-004	9.09E-005	2.02E-006	1.00E-008	1.04E-011
17	3.47E-004	1.04E-005	1.27E-007	6.26E-010	6.52E-013
33	8.00E-005	7.55E-007	7.94E-009	3.92E-011	4.10E-014
65	1.45E-006	4.90E-008	4.96E-010	2.45E-012	4.27E-015
129	2.26E-007	3.09E-009	3.10E-011	1.53E-013	6.87E-015
257	1.79E-008	1.94E-010	1.94E-012	9.74E-015	1.12E-014
513	1.19E-009	1.21E-011	1.21E-013	1.38E-015	1.66E-014
1025	7.53E-011	7.57E-013	7.58E-015	1.97E-015	3.03E-014
2049	4.73E-012	4.73E-014	4.92E-016	1.94E-015	1.64E-014
4097	2.96E-013	2.96E-015	6.02E-017	2.60E-015	3.25E-014
8193	1.85E-014	1.86E-016	7.98E-017	1.91E-015	3.82E-014
16385	1.16E-015	1.23E-017	5.10E-016	9.53E-015	1.58E-013
32769	7.23E-17	4.71E-17	1.19E-15	1.82E-14	1.84E-13
65537	6.68E-18	1.60E-17	1.86E-15	1.02E-14	3.91E-13
131073	9.72E-18	2.31E-17	0	0	0
262145	2.42E-18	1.16E-17	0	0	0
524289	2.42E-18	1.09E-16	0	0	0
1048577	1.79E-17	2.20E-16	0	0	0
2097153	3.64E-17	4.35E-17	0	0	0
