node number	L=0.01	L=0.1	L=1	L=10	L=100
3	3.12E+005	1.62E+003	1.97E+001	9.64E-002	9.87E-004
5	3.79E+005	9.16E+003	1.73E+001	4.81E-002	4.93E-004
9	1.82E+005	3.99E+003	8.87E+000	2.41E-002	2.47E-004
17	5.04E+005	3.56E+003	4.47E+000	1.20E-002	1.23E-004
33	6.76E+005	2.11E+003	2.24E+000	6.01E-003	6.17E-005
65	3.99E+005	1.10E+003	1.12E+000	3.01E-003	3.08E-005
129	3.93E+005	5.57E+002	5.59E-001	1.50E-003	1.54E-005
257	2.56E+005	2.79E+002	2.80E-001	7.52E-004	7.71E-006
513	1.37E+005	1.40E+002	1.40E-001	3.76E-004	3.85E-006
1025	6.95E+004	6.99E+001	6.99E-002	1.88E-004	1.93E-006
2049	3.49E+004	3.50E+001	3.50E-002	9.40E-005	9.64E-007
4097	1.75E+004	1.75E+001	1.75E-002	4.70E-005	4.83E-007
8193	8.74E+003	8.74E+000	8.74E-003	2.35E-005	2.73E-007
16385	4.37E+003	4.37E+000	4.37E-003	1.18E-005	5.23E-007
32769	2.19E+003	2.19E+000	2.19E-003	6.23E-006	2.03E-006
65537	1.09E+003	1.09E+000	1.09E-003	8.68E-006	7.37E-006
131073	5.46E+002	5.46E-001	5.47E-004	3.28E-005	3.25E-005
262145	2.73E+002	2.73E-001	3.07E-004	1.31E-004	1.18E-004
524289	1.37E+002	1.37E-001	5.73E-004	0	0
1048577	6.83E+001	6.83E-002	2.23E-003	0	0
2097153	3.41E+001	3.53E-002	8.92E-003	0	0
4194305	1.71E+001	3.95E-002	3.57E-002	0	0
8388609	8.54E+000	1.43E-001	0	0	0
16777217	4.31E+000	5.70E-001	0	0	0
33554433	3.12E+000	2.28E+000	0	0	0
67108865	9.19E+000	0	0	0	0
134217729	0	0	0	0	0
268435457	0	0	0	0	0
