node number	L=0.01	L=0.1	L=1	L=10	L=100
3	7.37E+002	8.51E+001	2.39E-002	6.23E-003	6.37E-005
5	6.52E+002	2.49E+002	5.60E-001	1.55E-003	1.59E-005
9	1.09E+004	6.26E+001	1.43E-001	3.88E-004	3.98E-006
17	6.24E+003	2.97E+001	3.60E-002	9.71E-005	9.95E-007
33	1.22E+004	8.60E+000	9.02E-003	2.43E-005	2.49E-007
65	5.59E+002	2.23E+000	2.26E-003	6.07E-006	6.22E-008
129	4.14E+002	5.63E-001	5.64E-004	1.52E-006	1.55E-008
257	1.31E+002	1.41E-001	1.41E-004	3.79E-007	3.89E-009
513	3.46E+001	3.53E-002	3.53E-005	9.48E-008	9.74E-010
1025	8.77E+000	8.82E-003	8.82E-006	2.37E-008	3.39E-010
2049	2.20E+000	2.20E-003	2.20E-006	6.00E-009	9.46E-010
4097	5.51E-001	5.51E-004	5.51E-007	4.08E-009	3.76E-009
8193	1.38E-001	1.38E-004	1.38E-007	1.52E-008	1.50E-008
16385	3.44E-002	3.44E-005	5.07E-008	6.10E-008	6.04E-008
32769	8.61E-003	8.61E-006	1.49E-007	2.44E-007	2.41E-007
65537	2.15E-003	2.15E-006	5.93E-007	9.73E-007	5.28E-007
131073	5.38E-004	5.88E-007	2.37E-006	3.89E-006	3.85E-006
262145	1.35E-004	9.67E-007	9.52E-006	1.56E-005	8.51E-006
524289	3.36E-005	3.84E-006	3.82E-005	0	0
1048577	8.55E-006	1.53E-005	1.53E-004	0	0
2097153	6.46E-006	6.11E-005	6.11E-004	0	0
4194305	2.47E-005	2.44E-004	2.44E-003	0	0
8388609	1.82E-004	9.75E-004	0	0	0
16777217	4.43E-004	3.90E-003	0	0	0
33554433	1.78E-003	1.59E-002	0	0	0
67108865	9.00E-003	0	0	0	0
134217729	0	0	0	0	0
268435457	0	0	0	0	0
