node number	L=0.01	L=0.1	L=1	L=10	L=100
3	7.91E-001	4.10E-001	5.65E-002	4.02E-004	4.11E-006
5	9.61E-001	2.20E+001	1.80E-002	5.01E-005	5.14E-007
9	4.07E+002	9.52E-001	2.31E-003	6.27E-006	6.42E-008
17	2.19E+002	2.30E-001	2.91E-004	7.83E-007	8.03E-009
33	4.64E+002	3.43E-002	3.64E-005	9.79E-008	1.00E-009
65	1.91E+000	4.49E-003	4.55E-006	1.22E-008	1.25E-010
129	3.91E-001	5.67E-004	5.69E-007	1.53E-009	1.57E-011
257	6.48E-002	7.11E-005	7.11E-008	1.91E-010	4.97E-012
513	8.69E-003	8.89E-006	8.89E-009	3.02E-011	1.82E-011
1025	1.11E-003	1.11E-006	1.11E-009	7.38E-011	7.28E-011
2049	1.39E-004	1.39E-007	1.67E-010	2.95E-010	2.91E-010
4097	1.74E-005	1.74E-008	3.69E-010	1.18E-009	1.16E-009
8193	2.17E-006	2.17E-009	1.48E-009	4.70E-009	4.64E-009
16385	2.71E-007	2.78E-010	5.92E-009	1.89E-008	1.86E-008
32769	3.39E-008	4.20E-010	2.36E-008	7.53E-008	7.44E-008
65537	4.25E-009	9.63E-010	9.44E-008	3.01E-007	1.64E-007
131073	1.73E-009	5.82E-009	3.78E-007	1.20E-006	1.19E-006
262145	2.04E-009	1.79E-008	1.52E-006	4.81E-006	2.64E-006
524289	6.48E-009	8.12E-008	0	0	0
1048577	5.75E-009	2.91E-007	0	0	0
2097153	5.15E-008	1.03E-006	0	0	0
4194305	7.79E-007	3.89E-006	0	0	0
8388609	3.92E-005	1.55E-005	0	0	0
16777217	2.43E-005	8.62E-005	0	0	0
33554433	2.24E-004	9.07E-004	0	0	0
67108865	1.82E-003	0	0	0	0
134217729	0	0	0	0	0
268435457	0	0	0	0	0
