node number	L=0.01	L=0.1	L=1	L=10	L=100	L=1e7	L1e-5
3	5.59E-001	2.90E-001	3.52E-001	8.51E-002	9.06E-003	9.08E-008	3.72E-001
5	6.79E-001	1.64E+000	3.09E-001	4.25E-002	4.53E-003	6.57E-008	1.93E-001
9	3.26E-001	7.14E-001	1.59E-001	2.13E-002	2.27E-003	1.15E-007	7.39E-001
17	9.02E-001	6.38E-001	8.00E-002	1.06E-002	1.13E-003	4.73E-007	4.91E-001
33	1.21E+000	3.78E-001	4.01E-002	5.31E-003	5.66E-004	2.20E-006	6.98E-001
65	7.15E-001	1.98E-001	2.00E-002	2.66E-003	2.83E-004	7.66E-006	1.43E+000
129	7.04E-001	9.98E-002	1.00E-002	1.33E-003	1.42E-004	2.90E-005	7.27E-001
257	4.58E-001	5.01E-002	5.01E-003	6.64E-004	7.08E-005	1.12E-004	9.60E-001
513	2.45E-001	2.50E-002	2.50E-003	3.32E-004	3.54E-005	4.70E-004	7.29E-001
1025	1.25E-001	1.25E-002	1.25E-003	1.66E-004	1.77E-005	1.88E-003	1.03E+000
2049	6.25E-002	6.26E-003	6.26E-004	8.30E-005	8.85E-006	7.57E-003	7.96E-001
4097	3.13E-002	3.13E-003	3.13E-004	4.15E-005	4.43E-006	3.02E-002	7.77E-001
8193	1.57E-002	1.57E-003	1.57E-004	2.08E-005	2.43E-006	1.21E-001	7.16E-001
16385	7.83E-003	7.83E-004	7.83E-005	1.04E-005	4.59E-006	4.91E-001	8.48E-001
32769	3.91E-003	3.91E-004	3.91E-005	5.52E-006	1.77E-005	1.95E+000	1.24E+000
65537	1.96E-003	1.96E-004	1.96E-005	7.99E-006	7.07E-005	7.78E+000	7.11E-001
131073	9.79E-004	9.79E-005	9.80E-006	2.36E-005	2.83E-004	3.11E+001	6.98E-001
262145	4.89E-004	4.89E-005	5.41E-006	1.21E-004	1.13E-003	1.24E+002	4.49E-001
524289	2.45E-004	2.45E-005	9.58E-006	4.83E-004	4.51E-003	4.98E+002	2.39E-001
1048577	1.22E-004	1.22E-005	3.43E-005	1.93E-003	1.79E-002	1.99E+003	1.22E-001
2097153	6.12E-005	6.26E-006	1.48E-004	7.74E-003	7.05E-002	7.97E+003	6.11E-002
4194305	3.06E-005	6.11E-006	5.94E-004	3.10E-002	2.57E-001	3.19E+004	3.06E-002
8388609	1.53E-005	2.12E-005	2.38E-003	0	0	0.000000000	1.53E-002
16777217	7.72E-006	8.45E-005	9.54E-003	0	0	0	7.64E-003
33554433	5.70E-006	3.38E-004	3.87E-002	0	0	0	3.82E-003
67108865	1.70E-005	0	0	0	0	0	1.91E-003
134217729	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.00E+000
