node number	L=0.01	L=0.1	L=1	L=10	L=100	L=1e7	L1e-5
3	1.32E-003	1.52E-002	4.29E-004	5.50E-003	5.85E-004	6.08E-009	1.48E-006
5	1.17E-003	4.46E-002	1.00E-002	1.37E-003	1.46E-004	6.43E-009	1.56E-006
9	1.95E-002	1.12E-002	2.57E-003	3.43E-004	3.66E-005	1.82E-008	1.07E-006
17	1.12E-002	5.31E-003	6.46E-004	8.57E-005	9.14E-006	6.17E-008	1.39E-006
33	2.18E-002	1.54E-003	1.62E-004	2.14E-005	2.29E-006	2.25E-007	1.14E-006
65	1.00E-003	3.99E-004	4.04E-005	5.36E-006	5.71E-007	8.62E-007	2.96E-003
129	7.41E-004	1.01E-004	1.01E-005	1.34E-006	1.43E-007	3.39E-006	3.29E-004
257	2.34E-004	2.52E-005	2.53E-006	3.35E-007	3.57E-008	1.36E-005	9.52E-004
513	6.20E-005	6.32E-006	6.32E-007	8.37E-008	8.94E-009	5.42E-005	5.08E-004
1025	1.57E-005	1.58E-006	1.58E-007	2.09E-008	3.11E-009	2.17E-004	1.14E-004
2049	3.94E-006	3.95E-007	3.95E-008	5.30E-009	8.69E-009	8.67E-004	1.33E-005
4097	9.87E-007	9.87E-008	9.87E-009	3.60E-009	3.45E-008	3.46E-003	2.34E-005
8193	2.47E-007	2.47E-008	2.47E-009	1.34E-008	7.67E-008	1.38E-002	5.30E-005
16385	6.17E-008	6.17E-009	7.24E-010	5.39E-008	5.54E-007	5.54E-002	2.32E-005
32769	1.54E-008	1.54E-009	1.52E-009	2.15E-007	2.21E-006	2.21E-001	5.00E-005
65537	3.86E-009	3.86E-010	6.07E-009	8.59E-007	8.84E-006	8.84E-001	1.03E-006
131073	9.64E-010	1.05E-010	4.25E-008	1.97E-006	3.54E-005	3.54E+000	7.17E-007
262145	2.41E-010	1.73E-010	1.71E-007	1.38E-005	1.41E-004	1.41E+001	2.24E-007
524289	6.02E-011	6.88E-010	6.84E-007	5.56E-005	5.72E-004	5.72E+001	5.92E-008
1048577	1.53E-011	2.74E-009	1.54E-006	2.22E-004	2.29E-003	2.29E+002	1.50E-008
2097153	1.16E-011	1.09E-008	1.09E-005	8.86E-004	9.11E-003	9.12E+002	3.76E-009
4194305	4.43E-011	4.37E-008	4.37E-005	3.54E-003	3.64E-002	3.64E+003	9.41E-010
8388609	3.27E-010	1.75E-007	1.75E-004	0	0	0	2.35E-010
16777217	7.93E-010	6.98E-007	7.01E-004	0	0	0	5.88E-011
33554433	3.19E-009	2.84E-006	2.86E-003	0	0	0	1.47E-011
67108865	0	0	0	0	0	0	3.68E-012
134217729	0	0	0	0	0	0	0
