node number	L=0.01	L=0.1	L=1	L=10	L=100	L=1e7	L1e-5	L1e-7	L=0.5	L=2	L=5
3	1.42E-006	7.34E-005	1.01E-003	3.55E-004	3.78E-005	6.19E-010	4.50E-012	2.70E-011	3.07E-003	1.29E-003	5.93E-004
5	1.72E-006	3.95E-003	3.22E-004	4.43E-005	4.72E-006	1.89E-009	7.30E-013	1.83E-011	2.53E-004	1.65E-004	7.42E-005
9	7.29E-004	1.71E-004	4.14E-005	5.53E-006	5.90E-007	5.56E-009	3.47E-012	1.97E-011	8.04E-005	2.08E-005	9.27E-006
17	3.92E-004	4.11E-005	5.21E-006	6.92E-007	7.38E-008	1.84E-008	1.38E-012	3.33E-011	1.03E-005	2.61E-006	1.16E-006
33	8.31E-004	6.15E-006	6.52E-007	8.65E-008	9.22E-009	6.87E-008	1.98E-012	3.81E-011	1.30E-006	3.26E-007	1.45E-007
65	3.43E-006	8.03E-007	8.15E-008	1.08E-008	1.15E-009	2.65E-007	1.46E-005	3.46E-011	1.63E-007	4.08E-008	1.81E-008
129	7.00E-007	1.02E-007	1.02E-008	1.35E-009	1.44E-010	1.04E-006	4.82E-007	3.63E-011	2.04E-008	5.10E-009	2.26E-009
257	1.16E-007	1.27E-008	1.27E-009	1.69E-010	4.56E-011	4.19E-006	1.55E-006	1.35E-007	2.55E-009	6.37E-010	2.83E-010
513	1.56E-008	1.59E-009	1.59E-010	2.67E-011	1.67E-010	1.67E-005	4.87E-007	2.64E-007	3.19E-010	7.96E-011	3.62E-011
1025	1.98E-009	1.99E-010	1.99E-011	6.52E-011	6.68E-010	6.68E-005	4.05E-008	9.37E-008	3.98E-011	1.20E-011	3.04E-011
2049	2.48E-010	2.49E-011	2.99E-012	2.61E-010	2.67E-009	2.68E-004	3.45E-009	3.23E-008	4.98E-012	2.65E-011	1.20E-010
4097	3.11E-011	3.11E-012	6.61E-012	1.04E-009	1.07E-008	1.07E-003	2.15E-009	6.06E-009	6.67E-013	1.05E-010	4.79E-010
8193	3.89E-012	3.89E-013	1.47E-011	4.15E-009	2.37E-008	4.26E-003	4.97E-009	2.06E-009	1.66E-012	4.23E-010	1.92E-009
16385	4.86E-013	4.97E-014	6.01E-011	1.67E-008	1.71E-007	1.71E-002	2.15E-009	2.17E-010	6.62E-012	1.70E-009	7.70E-009
32769	6.08E-014	4.31E-014	2.39E-010	6.65E-008	6.83E-007	6.83E-002	4.62E-009	1.20E-010	1.53E-011	3.82E-009	3.07E-008
65537	7.60E-015	1.72E-013	9.63E-010	2.66E-007	2.73E-006	2.73E-001	2.96E-012	2.09E-011	1.06E-010	2.70E-008	1.23E-007
131073	3.09E-015	1.04E-012	6.76E-009	6.08E-007	1.09E-005	1.09E+000	6.64E-013	6.45E-012	4.23E-010	6.12E-008	4.91E-007
262145	3.66E-015	3.20E-012	2.71E-008	4.25E-006	4.36E-005	4.37E+000	1.09E-013	1.03E-011	9.58E-010	4.33E-007	1.96E-006
524289	1.16E-014	1.45E-011	1.09E-007	1.72E-005	1.77E-004	1.77E+001	1.45E-014	2.76E-012	6.81E-009	1.76E-006	7.94E-006
1048577	1.03E-014	5.21E-011	2.45E-007	6.88E-005	7.06E-004	7.06E+001	2.22E-015	5.04E-014	2.72E-008	6.99E-006	3.17E-005
2097153	9.22E-014	1.84E-010	1.74E-006	2.74E-004	2.81E-003	2.81E+002	2.32E-016	4.33E-014	1.09E-007	2.78E-005	1.26E-004
4194305	1.40E-012	6.98E-010	6.95E-006	1.09E-003	1.12E-002	1.12E+003	3.03E-017	2.22E-015	4.35E-007	1.11E-004	5.05E-004
8388609	7.01E-011	2.78E-009	2.78E-005	0	0	0	5.85E-018	2.32E-016	1.74E-006	0	0
16777217	4.34E-011	1.54E-008	1.12E-004	0	0	0	7.66E-018	1.99E-016	0	0	0
33554433	4.01E-010	1.62E-007	4.55E-004	0	0	0	1.36E-017	1.95E-016	0	0	0
67108865	0	0	0	0	0	0	4.83E-018	5.91E-017	0	0	0
134217729	0	0	0	0	0	0	0	0	0	0	0
