node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	6.65E+004	7.80E+001	1.41E-003	2.23E-009	2.24E-015
5	4.45E+004	5.27E+001	9.70E-005	1.39E-010	1.40E-016
9	1.45E+004	4.99E+000	6.15E-006	8.69E-012	8.92E-018
17	1.29E+004	4.13E-001	3.85E-007	5.43E-013	1.49E-018
33	5.97E+003	2.86E-002	2.41E-008	3.39E-014	3.34E-018
65	1.49E+003	1.81E-003	1.51E-009	2.24E-015	6.43E-018
129	5.60E+001	1.13E-004	9.42E-011	1.29E-015	1.30E-017
257	6.92E+000	7.08E-006	5.89E-012	2.62E-015	2.57E-017
513	4.40E-001	4.43E-007	6.00E-013	5.13E-015	5.20E-017
1025	2.76E-002	2.77E-008	9.68E-013	1.03E-014	1.03E-016
2049	1.73E-003	1.73E-009	1.93E-012	2.06E-014	2.05E-016
4097	1.08E-004	1.29E-010	3.88E-012	4.12E-014	4.15E-016
8193	6.75E-006	1.44E-010	7.79E-012	8.28E-014	8.36E-016
16385	4.22E-007	2.87E-010	1.56E-011	1.64E-013	1.66E-015
32769	2.70E-08	5.75E-10	3.11E-11	3.30E-13	3.33E-15
65537	1.17E-08	1.15E-09	6.20E-11	6.61E-13	6.65E-15
131073	2.28E-08	2.30E-09	1.24E-10	1.32E-12	1.33E-14
262145	4.60E-08	4.60E-09	2.49E-10	2.64E-12	2.65E-14
