node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	7.44E+003	2.76E+001	1.40E-003	2.23E-009	2.24E-015
5	4.99E+003	1.87E+001	9.61E-005	1.39E-010	1.40E-016
9	1.63E+003	1.77E+000	6.09E-006	8.69E-012	8.92E-018
17	1.45E+003	1.46E-001	3.82E-007	5.43E-013	1.49E-018
33	6.68E+002	1.01E-002	2.39E-008	3.39E-014	3.34E-018
65	1.67E+002	6.39E-004	1.49E-009	2.24E-015	6.43E-018
129	6.27E+000	4.01E-005	9.33E-011	1.29E-015	1.30E-017
257	7.75E-001	2.51E-006	5.84E-012	2.62E-015	2.57E-017
513	4.93E-002	1.57E-007	5.54E-013	5.13E-015	5.20E-017
1025	3.09E-003	9.79E-009	8.37E-013	1.04E-014	1.03E-016
2049	1.93E-004	6.12E-010	1.68E-012	2.06E-014	2.05E-016
4097	1.21E-005	4.58E-011	3.31E-012	4.12E-014	4.15E-016
8193	7.56E-007	5.04E-011	6.60E-012	8.28E-014	8.36E-016
16385	4.73E-008	1.01E-010	1.33E-011	1.64E-013	1.66E-015
32769	3.10E-09	2.02E-10	2.61E-11	3.30E-13	3.33E-15
65537	1.45E-09	4.07E-10	5.22E-11	6.61E-13	6.65E-15
131073	2.66E-09	8.10E-10	1.05E-10	1.32E-12	1.33E-14
262145	5.20E-09	1.62E-09	2.10E-10	2.64E-12	2.65E-14
524289	1.03E-08	3.24E-09	4.18E-10	5.27E-12	5.31E-14
1048577	2.05E-08	6.48E-09	8.40E-10	1.06E-11	1.06E-13
2097153	4.10E-08	1.30E-08	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
