node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	2.28E+002	1.11E+000	2.87E-005	5.29E-011	7.86E-016
5	8.84E+001	2.22E-001	9.82E-007	1.65E-012	1.40E-015
9	7.57E+001	1.11E-002	3.11E-008	5.19E-014	2.32E-015
17	9.99E+000	4.37E-004	9.74E-010	4.93E-015	5.48E-015
33	7.30E-001	1.51E-005	3.04E-011	1.02E-014	1.09E-014
65	1.37E-001	4.75E-007	9.52E-013	2.19E-014	2.35E-014
129	2.26E-003	1.49E-008	7.82E-014	4.54E-014	4.24E-014
257	1.44E-004	4.65E-010	1.44E-013	8.48E-014	8.62E-014
513	4.58E-006	1.45E-011	2.84E-013	1.70E-013	1.68E-013
1025	1.43E-007	4.70E-013	5.71E-013	3.43E-013	3.39E-013
2049	4.49E-009	2.40E-013	1.15E-012	6.90E-013	6.82E-013
4097	1.40E-010	4.87E-013	2.31E-012	1.36E-012	1.36E-012
8193	4.40E-012	9.78E-013	4.60E-012	2.75E-012	2.73E-012
16385	5.84E-013	1.94E-012	9.22E-012	5.46E-012	5.47E-012
32769	1.18E-12	3.85E-12	1.85E-11	1.09E-11	1.09E-11
65537	2.44E-12	7.78E-12	3.70E-11	2.18E-11	2.19E-11
131073	4.86E-12	1.56E-11	7.39E-11	4.36E-11	4.37E-11
262145	9.81E-12	3.10E-11	1.48E-10	8.73E-11	8.73E-11
524289	1.95E-11	6.21E-11	2.96E-10	1.75E-10	1.75E-10
1048577	3.89E-11	1.24E-10	5.91E-10	3.49E-10	3.49E-10
2097153	7.79E-11	2.48E-10	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
