node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	6.78E+001	7.03E-002	1.65E-004	2.23E-008	2.24E-012
5	2.59E+001	2.68E-002	1.06E-005	1.39E-009	1.40E-013
9	2.16E+001	8.88E-004	6.65E-007	8.70E-011	8.77E-015
17	2.45E+000	1.56E-004	4.16E-008	5.44E-012	6.71E-016
33	1.44E-002	1.02E-005	2.60E-009	3.40E-013	4.08E-016
65	1.27E-003	6.43E-007	1.63E-010	2.13E-014	6.73E-016
129	1.02E-004	4.03E-008	1.02E-011	1.58E-015	4.14E-016
257	7.82E-006	2.52E-009	6.35E-013	7.92E-016	1.02E-015
513	4.96E-007	1.57E-010	3.97E-014	6.47E-016	8.03E-016
1025	3.11E-008	9.84E-012	3.53E-015	1.62E-015	2.37E-015
2049	1.94E-009	6.15E-013	2.10E-015	1.65E-015	2.20E-015
4097	1.22E-010	4.02E-014	4.45E-015	3.61E-015	2.11E-015
8193	7.60E-012	2.97E-015	1.12E-014	6.02E-015	1.97E-015
16385	4.75E-013	1.97E-015	5.96E-015	3.91E-015	7.88E-015
32769	3.19E-14	7.92E-15	1.01E-14	1.56E-14	2.67E-14
65537	1.83E-14	2.53E-14	2.78E-14	1.02E-14	1.38E-14
131073	6.59E-14	1.80E-14	3.09E-14	3.13E-14	1.21E-14
262145	2.25E-13	1.02E-14	8.01E-14	2.28E-14	1.69E-14
524289	1.57E-13	2.30E-14	1.69E-13	2.19E-14	4.27E-14
1048577	2.30E-13	8.19E-14	2.99E-13	4.69E-14	4.86E-14
2097153	4.09E-13	4.43E-14	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
