node number	D1E-4	D1E-2	D=1	D=1E2	D1E4
3	1.06E+000	6.83E+001	3.77E-001	4.49E-005	4.50E-009
5	1.38E+003	6.34E+001	1.94E-001	2.43E-005	2.44E-009
9	9.39E+002	5.39E+001	9.78E-002	1.24E-005	1.24E-009
17	1.60E+003	2.38E+001	4.90E-002	6.23E-006	6.24E-010
33	2.25E+003	1.22E+001	2.45E-002	3.12E-006	3.12E-010
65	1.90E+003	6.17E+000	1.22E-002	1.56E-006	1.56E-010
129	9.53E+002	3.09E+000	6.12E-003	7.79E-007	8.26E-011
257	4.81E+002	1.55E+000	3.06E-003	3.90E-007	1.14E-010
513	2.43E+002	7.73E-001	1.53E-003	1.95E-007	4.11E-010
1025	1.22E+002	3.87E-001	7.66E-004	9.74E-008	1.67E-009
2049	6.11E+001	1.93E-001	3.83E-004	4.92E-008	6.68E-009
4097	3.06E+001	9.66E-002	1.91E-004	3.60E-008	2.71E-008
8193	1.53E+001	4.83E-002	9.57E-005	1.07E-007	1.13E-007
16385	7.64E+000	2.42E-002	4.79E-005	4.25E-007	3.50E-007
32769	3.82E+000	1.21E-002	2.40E-005	1.71E-006	1.94E-006
65537	1.91E+000	6.04E-003	1.36E-005	6.75E-006	7.01E-006
131073	9.55E-001	3.02E-003	2.62E-005	2.73E-005	2.23E-005
262145	4.77E-001	1.51E-003	1.02E-004	1.11E-004	9.38E-005
524289	2.39E-001	7.73E-004	4.09E-004	4.32E-004	4.17E-004
1048577	1.19E-001	7.71E-004	1.64E-003	1.58E-003	1.57E-003
2097153	5.97E-002	2.69E-003	6.55E-003	0	0
4194305	3.00E-002	1.08E-002	2.62E-002	0	0
8388609	2.02E-002	4.31E-002	0	0	0
