node number	D1E-4	D1E-2	D=1	D=1E2	D1E4
3	2.20E-001	2.91E+000	2.43E-002	2.83E-006	2.83E-010
5	2.09E+002	1.72E+000	6.26E-003	7.82E-007	7.83E-011
9	1.06E+002	9.30E-001	1.58E-003	2.00E-007	2.00E-011
17	6.84E+001	1.92E-001	3.95E-004	5.02E-008	5.03E-012
33	7.38E+000	4.94E-002	9.88E-005	1.26E-008	1.29E-012
65	4.05E+000	1.24E-002	2.47E-005	3.14E-009	1.09E-012
129	9.76E-001	3.12E-003	6.18E-006	7.86E-010	4.12E-012
257	2.43E-001	7.80E-004	1.54E-006	1.97E-010	1.65E-011
513	6.14E-002	1.95E-004	3.86E-007	8.21E-011	6.58E-011
1025	1.54E-002	4.87E-005	9.65E-008	2.64E-010	2.64E-010
2049	3.85E-003	1.22E-005	2.42E-008	1.05E-009	1.05E-009
4097	9.63E-004	3.05E-006	7.24E-009	4.20E-009	4.20E-009
8193	2.41E-004	7.61E-007	9.49E-009	1.68E-008	1.68E-008
16385	6.02E-005	1.91E-007	6.43E-008	6.75E-008	6.75E-008
32769	1.50E-005	8.92E-008	2.56E-007	2.69E-007	2.69E-007
65537	3.76E-006	3.02E-007	1.02E-006	1.07E-006	1.08E-006
131073	9.50E-007	1.21E-006	4.10E-006	4.30E-006	4.30E-006
262145	5.75E-007	4.86E-006	1.64E-005	1.72E-005	1.73E-005
524289	2.19E-006	2.00E-005	6.65E-005	6.97E-005	6.97E-005
1048577	8.48E-006	7.82E-005	2.65E-004	2.78E-004	2.78E-004
