node number	D1E-4	D1E-2	D=1	D=1E2	D1E4
3	6.63E-002	7.44E-001	1.57E-003	2.16E-007	2.17E-011
5	6.18E+001	5.63E-002	2.02E-004	3.01E-008	3.02E-012
9	2.99E+001	1.84E-002	2.55E-005	3.85E-009	3.86E-013
17	1.99E+001	1.85E-003	3.19E-006	4.84E-010	5.23E-014
33	1.59E+000	2.38E-004	3.99E-007	6.06E-011	8.43E-014
65	1.83E-002	3.00E-005	4.98E-008	7.58E-012	3.28E-013
129	1.18E-003	3.76E-006	6.23E-009	1.60E-012	1.30E-012
257	1.46E-004	4.70E-007	7.79E-010	5.23E-012	5.23E-012
513	1.85E-005	5.87E-008	9.93E-011	2.08E-011	2.08E-011
1025	2.32E-006	7.34E-009	8.07E-011	8.35E-011	8.35E-011
2049	2.90E-007	9.22E-010	3.18E-010	3.33E-010	3.33E-010
4097	3.63E-008	3.79E-010	1.27E-009	1.33E-009	1.33E-009
8193	4.54E-009	1.45E-009	2.97E-009	5.32E-009	5.32E-009
16385	8.25E-010	5.84E-009	2.04E-008	2.13E-008	2.14E-008
32769	2.36E-009	2.31E-008	8.12E-008	8.50E-008	8.51E-008
65537	9.51E-009	9.26E-008	3.25E-007	3.40E-007	3.40E-007
131073	3.82E-008	3.71E-007	1.30E-006	1.36E-006	1.36E-006
262145	1.53E-007	1.49E-006	5.21E-006	5.45E-006	5.46E-006
524289	6.37E-007	6.12E-006	2.11E-005	2.21E-005	2.21E-005
1048577	2.47E-006	2.39E-005	8.39E-005	8.79E-005	8.79E-005
