node number	c=1e-4	c=1e-2	C=1	c=1e2	c=1e4
3	4.46E+000	4.45E+000	1.11E-001	1.14E-012	6.75E-015
5	4.73E+000	2.09E+000	5.43E-003	7.58E-014	1.40E-014
9	5.66E+000	5.92E+000	3.46E-004	2.33E-014	2.31E-014
17	5.92E+000	2.91E+000	2.18E-005	5.15E-014	5.22E-014
33	4.37E+000	3.48E+000	1.36E-006	9.84E-014	1.14E-013
65	5.77E+000	2.75E+000	8.52E-008	2.00E-013	1.85E-013
129	3.84E+000	4.21E-001	5.32E-009	3.87E-013	3.76E-013
257	5.02E+000	3.25E-002	3.33E-010	7.72E-013	7.78E-013
513	3.70E+000	2.14E-003	2.11E-011	1.54E-012	1.53E-012
1025	4.56E+000	1.35E-004	4.94E-012	3.11E-012	3.09E-012
2049	3.97E+000	8.48E-006	9.26E-012	6.18E-012	6.14E-012
4097	3.24E+000	5.31E-007	1.85E-011	1.23E-011	1.23E-011
8193	1.65E+000	3.32E-008	3.71E-011	2.48E-011	2.46E-011
16385	1.75E-001	2.07E-009	7.38E-011	4.95E-011	4.94E-011
32769	1.24E-02	1.98E-10	1.47E-10	9.89E-11	9.95E-11
65537	8.01E-04	3.01E-10	2.95E-10	1.97E-10	1.98E-10
131073	5.05E-05	6.00E-10	5.91E-10	3.93E-10	3.97E-10
262145	3.16E-06	1.21E-09	1.18E-09	7.89E-10	7.91E-10
524289	1.98E-07	2.40E-09	0	0	0
1048577	1.33E-08	4.80E-09	0	0	0
2097153	9.67E-09	0	0	0	0
