node number	c=1e-4	c=1e-2	C=1	c=1e2	c=1e4
3	7.68E-002	8.12E-002	2.71E-003	2.70E-014	3.87E-016
5	6.18E-002	6.46E-002	6.48E-005	1.16E-015	7.93E-016
9	6.42E-002	8.15E-002	2.06E-006	2.16E-015	2.30E-015
17	2.11E-002	3.81E-002	6.47E-008	4.18E-015	4.76E-015
33	1.17E-002	1.28E-002	2.02E-009	1.02E-014	1.43E-014
65	2.27E-002	2.56E-003	6.32E-011	2.05E-014	2.12E-014
129	6.21E-003	1.65E-004	1.98E-012	4.07E-014	4.28E-014
257	2.94E-003	6.10E-006	1.07E-013	8.63E-014	8.38E-014
513	1.52E-003	1.99E-007	1.77E-013	1.69E-013	1.71E-013
1025	5.60E-004	6.28E-009	3.57E-013	3.33E-013	3.39E-013
2049	1.44E-003	1.97E-010	6.97E-013	6.78E-013	6.85E-013
4097	5.05E-005	6.31E-012	1.38E-012	1.35E-012	1.36E-012
8193	1.09E-005	2.79E-012	2.79E-012	2.72E-012	2.72E-012
16385	5.24E-007	5.56E-012	5.60E-012	5.41E-012	5.42E-012
32769	1.82E-08	1.11E-11	1.11E-11	1.09E-11	1.09E-11
65537	5.83E-10	2.22E-11	2.23E-11	2.17E-11	2.17E-11
131073	4.81E-11	4.45E-11	4.45E-11	4.34E-11	4.35E-11
262145	8.91E-11	8.90E-11	8.90E-11	8.69E-11	8.70E-11
524289	1.78E-10	1.78E-10	0	0	0
1048577	3.56E-10	3.56E-10	0	0	0
2097153	7.12E-10	0	0	0	0
