node number	L1e-4	L=0.01	L=1	L=100	L=1e4
3	2.50E+000	4.76E-001	1.53E+000	1.01E-003	1.01E-007
5	1.40E+000	4.54E+000	1.40E+000	5.04E-004	5.04E-008
9	2.61E+000	3.43E+000	7.22E-001	2.52E-004	2.52E-008
17	4.02E+000	2.96E+000	3.64E-001	1.26E-004	1.26E-008
33	3.95E+000	1.79E+000	1.82E-001	6.29E-005	6.30E-009
65	2.47E+000	3.14E+000	9.11E-002	3.15E-005	3.15E-009
129	3.03E+000	3.21E+000	4.55E-002	1.57E-005	1.57E-009
257	3.18E+000	2.08E+000	2.28E-002	7.87E-006	7.96E-010
513	2.65E+000	1.11E+000	1.14E-002	3.93E-006	6.61E-010
1025	3.16E+000	5.66E-001	5.69E-003	1.97E-006	1.99E-009
2049	2.60E+000	2.84E-001	2.85E-003	9.83E-007	7.97E-009
4097	3.36E+000	1.42E-001	1.42E-003	4.93E-007	3.21E-008
8193	3.28E+000	7.12E-002	7.12E-004	2.77E-007	1.28E-007
16385	2.86E+000	3.56E-002	3.56E-004	5.27E-007	5.01E-007
32769	1.68E+000	1.78E-002	1.78E-004	2.04E-006	1.97E-006
65537	8.77E-001	8.90E-003	8.93E-005	8.13E-006	8.27E-006
131073	4.43E-001	4.45E-003	5.46E-005	3.26E-005	3.40E-005
262145	2.22E-001	2.23E-003	1.29E-004	1.30E-004	1.24E-004
524289	1.11E-001	1.22E-003	5.09E-004	5.19E-004	5.13E-004
1048577	5.56E-002	2.04E-003	2.03E-003	2.06E-003	2.32E-003
2097153	2.89E-002	7.87E-003	0	0	0
4194305	3.44E-002	3.15E-002	0	0	0
8388609	1.26E-001	1.26E-001	0	0	0
