node number	L1e-4	L=0.01	L=1	L=100	L=1e4
3	6.04E-005	7.19E-003	6.35E-002	6.50E-005	6.50E-009
5	6.88E-005	3.80E-004	4.54E-002	1.63E-005	1.63E-009
9	5.92E-005	7.96E-002	1.17E-002	4.06E-006	4.07E-010
17	3.38E-005	5.23E-002	2.93E-003	1.02E-006	1.02E-010
33	2.03E-002	9.15E-002	7.35E-004	2.54E-007	2.54E-011
65	1.64E-002	5.40E-003	1.84E-004	6.35E-008	6.42E-012
129	1.09E-002	3.24E-003	4.59E-005	1.59E-008	4.08E-012
257	1.14E-002	1.05E-003	1.15E-005	3.97E-009	1.51E-011
513	1.62E-003	2.81E-004	2.87E-006	9.94E-010	6.02E-011
1025	7.25E-004	7.14E-005	7.18E-007	3.42E-010	2.41E-010
2049	1.27E-003	1.79E-005	1.79E-007	9.46E-010	9.63E-010
4097	1.82E-004	4.48E-006	4.50E-008	3.76E-009	3.84E-009
8193	4.84E-005	1.12E-006	1.70E-008	1.50E-008	1.53E-008
16385	2.27E-005	2.85E-007	5.14E-008	6.04E-008	3.69E-008
32769	6.65E-006	2.12E-007	2.06E-007	2.41E-007	2.46E-007
65537	1.91E-006	8.01E-007	8.20E-007	9.63E-007	9.82E-007
131073	3.23E-006	3.20E-006	3.28E-006	3.85E-006	3.93E-006
262145	1.28E-005	1.28E-005	1.31E-005	1.54E-005	1.57E-005
524289	5.16E-005	5.16E-005	5.28E-005	6.23E-005	6.35E-005
1048577	2.07E-004	2.07E-004	2.12E-004	2.49E-004	2.54E-004
2097153	8.26E-004	8.26E-004	0	0	0
4194305	3.30E-003	3.30E-003	0	0	0
8388609	1.32E-002	1.32E-002	0	0	0
