node number	L1e-4	L=0.01	L=1	L=100	L=1e4
3	6.33E-010	1.21E-006	2.56E-003	5.02E-006	5.02E-010
5	3.54E-010	1.15E-005	1.75E-003	6.27E-007	6.27E-011
9	6.62E-010	3.32E-003	2.25E-004	7.84E-008	7.84E-012
17	1.02E-009	1.78E-003	2.83E-005	9.79E-009	9.80E-013
33	2.01E-004	3.77E-003	3.54E-006	1.22E-009	1.44E-013
65	1.53E-004	1.25E-005	4.43E-007	1.53E-010	2.94E-013
129	1.08E-004	3.84E-006	5.54E-008	1.92E-011	1.16E-012
257	1.13E-004	6.33E-007	6.92E-009	5.15E-012	4.65E-012
513	9.89E-007	8.46E-008	8.65E-010	1.82E-011	1.86E-011
1025	4.62E-007	1.08E-008	1.23E-010	7.29E-011	7.43E-011
2049	8.22E-007	1.37E-009	2.33E-010	2.92E-010	2.97E-010
4097	9.99E-009	9.35E-010	9.27E-010	1.16E-009	1.18E-009
8193	3.77E-009	3.67E-009	3.70E-009	4.65E-009	4.74E-009
16385	1.47E-008	1.47E-008	1.49E-008	1.87E-008	1.13E-008
32769	5.90E-008	5.90E-008	5.94E-008	7.45E-008	7.59E-008
65537	2.35E-007	2.35E-007	2.37E-007	2.97E-007	3.03E-007
131073	9.41E-007	9.41E-007	9.48E-007	1.19E-006	1.21E-006
262145	3.76E-006	3.76E-006	3.79E-006	4.76E-006	4.85E-006
524289	1.52E-005	1.52E-005	1.53E-005	1.92E-005	1.96E-005
1048577	6.09E-005	6.09E-005	6.14E-005	7.69E-005	7.84E-005
2097153	2.43E-004	2.43E-004	0	0	0
4194305	9.69E-004	9.69E-004	0	0	0
8388609	3.89E-003	3.89E-003	0	0	0
