node number	L1e-4	L=0.01	L=1	L=100	L1e4
3	5.50E-001	1.05E-001	3.36E-001	9.06E-003	9.07E-005
5	3.07E-001	9.99E-001	3.09E-001	4.53E-003	4.53E-005
9	5.75E-001	7.54E-001	1.59E-001	2.27E-003	2.27E-005
17	8.84E-001	6.51E-001	8.00E-002	1.13E-003	1.13E-005
33	8.69E-001	3.93E-001	4.01E-002	5.66E-004	5.67E-006
65	5.42E-001	6.91E-001	2.00E-002	2.83E-004	2.83E-006
129	6.66E-001	7.06E-001	1.00E-002	1.42E-004	1.42E-006
257	6.99E-001	4.58E-001	5.01E-003	7.08E-005	7.19E-007
513	5.84E-001	2.45E-001	2.50E-003	3.54E-005	5.81E-007
1025	6.95E-001	1.25E-001	1.25E-003	1.77E-005	1.86E-006
2049	5.72E-001	6.25E-002	6.26E-004	8.85E-006	7.76E-006
4097	7.40E-001	3.13E-002	3.13E-004	4.43E-006	3.02E-005
8193	7.22E-001	1.57E-002	1.57E-004	2.47E-006	1.20E-004
16385	6.30E-001	7.83E-003	7.83E-005	4.51E-006	4.77E-004
32769	3.70E-001	3.91E-003	3.91E-005	1.74E-005	1.91E-003
65537	1.93E-001	1.96E-003	1.97E-005	6.96E-005	6.18E-003
131073	9.75E-002	9.79E-004	1.22E-005	2.54E-004	2.92E-002
262145	4.89E-002	4.90E-004	2.64E-005	1.01E-003	9.08E-002
524289	2.45E-002	2.69E-004	1.15E-004	4.04E-003	3.64E-001
1048577	1.22E-002	4.61E-004	4.60E-004	1.61E-002	1.89E+000
2097153	6.37E-003	1.78E-003	0	0	0
4194305	7.75E-003	7.12E-003	0	0	0
8388609	2.86E-002	2.86E-002	0	0	0
