node number	L1e-4	L=0.01	L=1	L=100	L1e4
3	1.33E-005	1.58E-003	1.40E-002	5.85E-004	5.85E-006
5	1.51E-005	8.37E-005	9.99E-003	1.46E-004	1.46E-006
9	1.30E-005	1.75E-002	2.56E-003	3.66E-005	3.66E-007
17	7.43E-006	1.15E-002	6.45E-004	9.14E-006	9.15E-008
33	4.47E-003	2.01E-002	1.62E-004	2.29E-006	2.29E-008
65	3.61E-003	1.19E-003	4.04E-005	5.71E-007	5.78E-009
129	2.39E-003	7.14E-004	1.01E-005	1.43E-007	3.68E-009
257	2.50E-003	2.32E-004	2.53E-006	3.57E-008	1.36E-008
513	3.56E-004	6.18E-005	6.32E-007	8.94E-009	5.42E-008
1025	1.59E-004	1.57E-005	1.58E-007	3.08E-009	2.17E-007
2049	2.80E-004	3.94E-006	3.95E-008	8.52E-009	8.67E-007
4097	3.99E-005	9.87E-007	9.89E-009	3.39E-008	3.45E-006
8193	1.06E-005	2.47E-007	3.74E-009	1.35E-007	1.38E-005
16385	4.99E-006	6.27E-008	1.13E-008	5.43E-007	5.54E-005
32769	1.46E-006	4.67E-008	4.52E-008	2.17E-006	2.21E-004
65537	4.19E-007	1.76E-007	1.80E-007	8.66E-006	4.33E-004
131073	7.11E-007	3.89E-007	7.21E-007	1.91E-005	3.54E-003
262145	2.82E-006	2.82E-006	1.58E-006	7.56E-005	6.51E-003
524289	1.13E-005	1.13E-005	1.16E-005	3.04E-004	2.63E-002
1048577	4.56E-005	4.56E-005	4.67E-005	1.27E-003	2.29E-001
