node number	L1e-4	L=0.01	L=1	L=100	L1e4
3	1.39E-010	2.65E-007	5.64E-004	4.51E-005	4.52E-007
5	7.78E-011	2.53E-006	3.85E-004	5.64E-006	5.65E-008
9	1.46E-010	7.30E-004	4.95E-005	7.05E-007	7.06E-009
17	2.24E-010	3.91E-004	6.22E-006	8.82E-008	8.82E-010
33	4.42E-005	8.28E-004	7.79E-007	1.10E-008	1.30E-010
65	3.36E-005	2.74E-006	9.74E-008	1.38E-009	2.65E-010
129	2.38E-005	8.46E-007	1.22E-008	1.72E-010	1.04E-009
257	2.49E-005	1.39E-007	1.52E-009	4.64E-011	4.19E-009
513	2.18E-007	1.86E-008	1.90E-010	1.64E-010	1.67E-008
1025	1.02E-007	2.37E-009	2.70E-011	6.56E-010	6.68E-008
2049	1.81E-007	3.01E-010	5.12E-011	2.62E-009	2.68E-007
4097	2.20E-009	2.06E-010	2.04E-010	1.05E-008	1.07E-006
8193	8.30E-010	8.08E-010	8.14E-010	4.18E-008	4.26E-006
16385	3.24E-009	3.24E-009	3.27E-009	1.68E-007	1.71E-005
32769	1.30E-008	1.30E-008	1.31E-008	6.70E-007	6.83E-005
65537	5.18E-008	5.18E-008	5.21E-008	2.68E-006	1.32E-004
131073	2.07E-007	1.15E-007	2.08E-007	5.90E-006	1.09E-003
262145	8.28E-007	8.28E-007	4.60E-007	2.34E-005	2.04E-003
524289	3.34E-006	3.34E-006	3.36E-006	9.41E-005	8.25E-003
1048577	1.34E-005	1.34E-005	1.35E-005	3.91E-004	7.06E-002
