node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	8.66E+002	5.33E+001	2.26E-001	6.59E-007	6.42E-013
5	4.07E+002	6.83E+001	1.10E-002	4.20E-008	4.27E-014
9	1.15E+003	3.40E+001	7.05E-004	2.64E-009	1.42E-014
17	5.66E+002	3.71E+000	4.43E-005	1.65E-010	2.91E-014
33	6.78E+002	2.65E-001	2.77E-006	1.03E-011	6.66E-014
65	5.35E+002	1.71E-002	1.73E-007	6.76E-013	1.11E-013
129	8.19E+001	1.08E-003	1.08E-008	2.36E-013	2.23E-013
257	6.32E+000	6.77E-005	6.77E-010	4.32E-013	4.30E-013
513	4.16E-001	4.23E-006	4.23E-011	8.83E-013	8.83E-013
1025	2.63E-002	2.65E-007	3.18E-012	1.77E-012	1.73E-012
2049	1.65E-003	1.65E-008	3.57E-012	3.55E-012	3.51E-012
4097	1.03E-004	1.03E-009	7.08E-012	7.07E-012	6.99E-012
8193	6.46E-006	6.62E-011	1.41E-011	1.43E-011	1.40E-011
16385	4.04E-007	2.89E-011	2.84E-011	2.84E-011	2.79E-011
32769	2.52E-08	5.70E-11	5.70E-11	5.69E-11	5.59E-11
65537	1.58E-09	1.14E-10	1.14E-10	1.14E-10	1.12E-10
131073	2.58E-10	2.28E-10	2.28E-10	2.28E-10	2.23E-10
262145	4.63E-10	4.55E-10	4.55E-10	4.55E-10	4.50E-10
524289	9.17E-10	9.11E-10	0	0	0
1048577	1.83E-09	1.82E-09	0	0	0
2097153	3.65E-09	0	0	0	0
