node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	1.58E+001	4.90E+000	5.52E-003	1.57E-008	1.53E-014
5	1.26E+001	9.36E-001	1.32E-004	4.99E-010	6.29E-016
9	1.59E+001	2.33E-001	4.19E-006	1.57E-011	1.21E-015
17	7.42E+000	1.14E-002	1.32E-007	4.91E-013	1.90E-015
33	2.50E+000	3.97E-004	4.12E-009	1.69E-014	1.60E-015
65	4.99E-001	1.28E-005	1.29E-010	8.84E-015	8.48E-015
129	3.21E-002	4.01E-007	4.02E-012	1.74E-014	1.81E-014
257	1.19E-003	1.26E-008	1.26E-013	3.50E-014	3.48E-014
513	3.87E-005	3.93E-010	2.70E-014	7.09E-014	6.58E-014
1025	1.22E-006	1.23E-011	5.52E-014	1.39E-013	1.33E-013
2049	3.83E-008	3.83E-013	1.08E-013	2.79E-013	2.68E-013
4097	1.20E-009	2.37E-014	2.15E-013	5.53E-013	5.42E-013
8193	3.74E-011	4.26E-014	4.25E-013	1.11E-012	1.06E-012
16385	1.17E-012	8.73E-014	8.64E-013	2.23E-012	2.15E-012
32769	4.00E-14	1.72E-13	1.72E-12	4.43E-12	4.32E-12
65537	3.89E-14	3.43E-13	3.45E-12	8.88E-12	8.65E-12
131073	6.72E-14	6.89E-13	6.88E-12	1.78E-11	1.73E-11
262145	1.34E-13	1.38E-12	1.38E-11	3.56E-11	3.45E-11
524289	2.68E-13	2.76E-12	0	0	0
1048577	5.42E-13	5.54E-12	0	0	0
2097153	1.10E-12	0	0	0	0
