node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	5.66E+002	2.07E+001	3.64E-002	2.85E-006	2.80E-010
5	3.71E+002	2.13E+000	1.80E-003	1.82E-007	1.79E-011
9	3.82E+002	5.19E-001	1.15E-004	1.14E-008	1.13E-012
17	1.98E+002	5.92E-002	7.24E-006	7.15E-010	7.06E-014
33	4.57E+001	4.31E-003	4.53E-007	4.47E-011	4.50E-015
65	8.27E-001	2.80E-004	2.83E-008	2.80E-012	1.38E-015
129	1.29E-001	1.77E-005	1.77E-009	1.74E-013	2.43E-015
257	1.02E-002	1.11E-006	1.11E-010	1.23E-014	5.48E-015
513	6.78E-004	6.92E-008	6.92E-012	1.16E-014	1.34E-014
1025	4.30E-005	4.33E-009	4.33E-013	2.28E-014	2.79E-014
2049	2.70E-006	2.70E-010	4.28E-014	4.97E-014	5.10E-014
4097	1.69E-007	1.69E-011	6.75E-014	1.02E-013	1.03E-013
8193	1.06E-008	1.06E-012	1.55E-013	1.93E-013	2.05E-013
16385	6.60E-010	2.85E-013	2.71E-013	3.88E-013	4.10E-013
32769	4.13E-11	5.52E-14	5.51E-13	7.80E-13	8.19E-13
65537	2.73E-12	2.04E-13	1.08E-12	1.55E-12	1.59E-12
131073	1.29E-12	3.11E-13	2.24E-12	3.12E-12	3.21E-12
262145	1.42E-12	6.55E-13	4.34E-12	6.27E-12	6.42E-12
524289	1.15E-12	1.32E-12	0	0	0
1048577	6.74E-12	2.35E-12	0	0	0
2097153	1.15E-11	0	0	0	0
