node number	c=1e-2	c=1e-1	C=1	c=1e1	c=1e2
3	5.66E+002	2.07E+001	3.64E-002	2.85E-006	2.80E-010
5	3.71E+002	2.13E+000	1.80E-003	1.82E-007	1.79E-011
9	3.82E+002	5.19E-001	1.15E-004	1.14E-008	1.13E-012
17	1.98E+002	5.92E-002	7.24E-006	7.15E-010	7.05E-014
33	4.57E+001	4.31E-003	4.53E-007	4.47E-011	4.60E-015
65	8.27E-001	2.80E-004	2.83E-008	2.80E-012	9.95E-016
129	1.29E-001	1.77E-005	1.77E-009	1.75E-013	1.23E-015
257	1.02E-002	1.11E-006	1.11E-010	1.11E-014	1.15E-015
513	6.78E-004	6.92E-008	6.92E-012	2.31E-015	1.33E-015
1025	4.30E-005	4.33E-009	4.33E-013	1.89E-015	1.41E-015
2049	2.70E-006	2.70E-010	2.69E-014	1.81E-015	3.86E-015
4097	1.69E-007	1.69E-011	6.69E-015	2.39E-015	5.68E-015
8193	1.06E-008	1.06E-012	1.62E-014	1.53E-014	2.67E-015
16385	6.60E-010	8.19E-014	2.72E-014	2.08E-014	1.40E-014
32769	4.13E-11	3.08E-13	4.76E-14	1.03E-14	2.79E-14
65537	4.70E-12	7.88E-13	1.20E-13	1.63E-14	4.02E-14
131073	4.63E-12	8.08E-13	2.62E-13	4.65E-14	6.66E-14
262145	1.07E-11	2.67E-13	4.49E-13	8.27E-14	1.40E-13
524289	1.17E-11	4.71E-13	0	0	0
1048577	1.63E-11	2.35E-13	0	0	0
2097153	1.01E-11	0	0	0	0
