node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	6.15E+002	3.79E+001	1.61E-001	6.20E-007	6.42E-013
5	2.89E+002	4.85E+001	7.84E-003	3.95E-008	4.31E-014
9	8.18E+002	2.42E+001	5.01E-004	2.48E-009	1.56E-014
17	4.02E+002	2.64E+000	3.15E-005	1.55E-010	2.53E-014
33	4.81E+002	1.88E-001	1.97E-006	9.72E-012	6.02E-014
65	3.80E+002	1.22E-002	1.23E-007	6.37E-013	1.09E-013
129	5.81E+001	7.67E-004	7.69E-009	2.12E-013	2.20E-013
257	4.49E+000	4.81E-005	4.81E-010	4.13E-013	4.41E-013
513	2.95E-001	3.00E-006	3.01E-011	8.39E-013	8.73E-013
1025	1.87E-002	1.88E-007	2.26E-012	1.66E-012	1.74E-012
2049	1.17E-003	1.17E-008	2.51E-012	3.32E-012	3.49E-012
4097	7.34E-005	7.34E-010	4.98E-012	6.64E-012	6.97E-012
8193	4.59E-006	4.70E-011	1.01E-011	1.32E-011	1.41E-011
16385	2.87E-007	2.03E-011	2.00E-011	2.65E-011	2.80E-011
32769	1.79E-08	4.02E-11	4.01E-11	5.30E-11	5.58E-11
65537	1.12E-09	8.03E-11	8.01E-11	1.06E-10	1.12E-10
131073	1.82E-10	1.61E-10	1.61E-10	2.12E-10	2.25E-10
262145	3.26E-10	3.21E-10	3.20E-10	4.23E-10	4.47E-10
524289	6.47E-10	6.42E-10	0	0	0
1048577	1.29E-09	1.28E-09	0	0	0
2097153	2.57E-09	0.00E+00	0	0	0
