node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	1.12E+001	3.48E+000	3.92E-003	1.47E-008	1.53E-014
5	8.93E+000	6.65E-001	9.36E-005	4.69E-010	8.84E-016
9	1.13E+001	1.65E-001	2.98E-006	1.47E-011	1.37E-015
17	5.26E+000	8.10E-003	9.34E-008	4.61E-013	3.34E-015
33	1.77E+000	2.82E-004	2.92E-009	1.55E-014	5.34E-015
65	3.54E-001	9.06E-006	9.14E-011	1.16E-014	1.24E-014
129	2.28E-002	2.85E-007	2.86E-012	2.13E-014	2.38E-014
257	8.44E-004	8.92E-009	8.97E-014	4.84E-014	4.80E-014
513	2.75E-005	2.79E-010	1.91E-014	9.41E-014	9.99E-014
1025	8.68E-007	8.71E-012	3.99E-014	1.87E-013	1.99E-013
2049	2.72E-008	2.72E-013	7.98E-014	3.80E-013	3.97E-013
4097	8.51E-010	1.70E-014	1.52E-013	7.54E-013	7.83E-013
8193	2.66E-011	3.02E-014	3.09E-013	1.51E-012	1.58E-012
16385	8.28E-013	6.11E-014	6.13E-013	3.03E-012	3.15E-012
32769	2.86E-14	1.22E-13	1.23E-12	6.06E-12	6.31E-12
65537	2.82E-14	2.49E-13	2.48E-12	1.21E-11	1.26E-11
131073	4.78E-14	4.91E-13	4.94E-12	2.43E-11	2.53E-11
262145	9.82E-14	9.84E-13	9.87E-12	4.86E-11	5.05E-11
524289	1.98E-13	1.97E-12	0	0	0
1048577	3.88E-13	3.94E-12	0	0	0
2097153	7.83E-13	0	0	0	0
