node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	6.23E-001	2.28E-001	4.00E-003	1.57E-006	1.63E-010
5	4.08E-001	2.35E-002	1.98E-004	1.00E-007	1.04E-011
9	4.20E-001	5.71E-003	1.27E-005	6.29E-009	6.54E-013
17	2.18E-001	6.51E-004	7.97E-007	3.93E-010	4.09E-014
33	5.03E-002	4.74E-005	4.99E-008	2.46E-011	2.57E-015
65	9.10E-004	3.08E-006	3.12E-009	1.54E-012	5.79E-016
129	1.42E-004	1.94E-007	1.95E-010	9.60E-014	5.55E-016
257	1.13E-005	1.22E-008	1.22E-011	5.99E-015	3.92E-016
513	7.46E-007	7.61E-010	7.61E-013	9.70E-016	5.00E-016
1025	4.73E-008	4.76E-011	4.76E-014	1.02E-015	1.42E-015
2049	2.97E-009	2.97E-012	3.31E-015	1.77E-015	1.60E-015
4097	1.86E-010	1.86E-013	7.20E-016	1.86E-015	3.63E-015
8193	1.16E-011	1.16E-014	1.42E-015	4.62E-015	2.33E-015
16385	7.26E-013	1.23E-015	1.09E-015	5.03E-015	5.90E-015
32769	4.54E-14	4.81E-15	1.04E-15	9.22E-15	4.47E-15
65537	3.03E-15	6.55E-15	1.04E-14	1.85E-14	8.29E-15
131073	1.27E-15	6.32E-15	1.31E-14	5.34E-14	1.73E-14
262145	6.66E-15	1.65E-15	2.65E-14	6.34E-14	1.74E-14
524289	1.56E-14	5.53E-15	0	0	0
1048577	5.21E-15	1.33E-14	0	0	0
2097153	5.36E-15	0	0	0	0
