node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	5.98E+004	4.64E+003	1.92E+001	9.72E-002	9.82E-004
5	5.70E+005	5.30E+003	1.77E+001	4.86E-002	4.91E-004
9	4.31E+005	4.10E+003	9.07E+000	2.43E-002	2.45E-004
17	3.72E+005	3.65E+003	4.57E+000	1.21E-002	1.23E-004
33	2.24E+005	2.16E+003	2.29E+000	6.07E-003	6.14E-005
65	3.95E+005	1.13E+003	1.14E+000	3.03E-003	3.07E-005
129	4.03E+005	5.70E+002	5.72E-001	1.52E-003	1.53E-005
257	2.62E+005	2.86E+002	2.86E-001	7.59E-004	7.67E-006
513	1.40E+005	1.43E+002	1.43E-001	3.79E-004	3.84E-006
1025	7.11E+004	7.15E+001	7.15E-002	1.90E-004	1.92E-006
2049	3.57E+004	3.58E+001	3.58E-002	9.48E-005	9.59E-007
4097	1.79E+004	1.79E+001	1.79E-002	4.74E-005	4.80E-007
8193	8.94E+003	8.94E+000	8.94E-003	2.37E-005	2.71E-007
16385	4.47E+003	4.47E+000	4.47E-003	1.19E-005	5.18E-007
32769	2.24E+003	2.24E+000	2.24E-003	6.27E-006	2.03E-006
65537	1.12E+003	1.12E+000	1.12E-003	8.76E-006	8.12E-006
131073	5.59E+002	5.59E-001	5.60E-004	3.30E-005	3.24E-005
262145	2.79E+002	2.79E-001	3.13E-004	1.32E-004	1.29E-004
524289	1.40E+002	1.40E-001	5.81E-004	5.28E-004	5.17E-004
1048577	6.99E+001	6.99E-002	2.26E-003	2.11E-003	2.05E-003
2097153	3.49E+001	3.61E-002	0	0	0
4194305	1.75E+001	4.01E-002	0	0	0
