node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	9.04E+002	5.30E+001	7.98E-001	6.28E-003	6.34E-005
5	4.78E+001	3.07E+002	5.71E-001	1.57E-003	1.58E-005
9	1.00E+004	6.14E+001	1.46E-001	3.92E-004	3.96E-006
17	6.57E+003	2.96E+001	3.69E-002	9.79E-005	9.90E-007
33	1.15E+004	8.74E+000	9.23E-003	2.45E-005	2.48E-007
65	6.78E+002	2.28E+000	2.31E-003	6.12E-006	6.19E-008
129	4.08E+002	5.75E-001	5.77E-004	1.53E-006	1.55E-008
257	1.32E+002	1.44E-001	1.44E-004	3.83E-007	3.87E-009
513	3.53E+001	3.61E-002	3.61E-005	9.56E-008	9.69E-010
1025	8.97E+000	9.02E-003	9.02E-006	2.39E-008	3.37E-010
2049	2.25E+000	2.25E-003	2.25E-006	6.05E-009	9.41E-010
4097	5.64E-001	5.64E-004	5.64E-007	4.12E-009	3.74E-009
8193	1.41E-001	1.41E-004	1.41E-007	1.53E-008	1.50E-008
16385	3.52E-002	3.52E-005	5.18E-008	6.16E-008	6.01E-008
32769	8.81E-003	8.81E-006	1.52E-007	2.46E-007	2.40E-007
65537	2.20E-003	2.20E-006	6.07E-007	9.82E-007	9.57E-007
131073	5.51E-004	5.65E-007	2.43E-006	3.93E-006	3.83E-006
262145	1.38E-004	9.89E-007	9.74E-006	1.57E-005	1.53E-005
524289	3.44E-005	3.93E-006	3.91E-005	6.35E-005	6.19E-005
1048577	8.64E-006	1.57E-005	1.57E-004	2.54E-004	2.48E-004
2097153	6.61E-006	6.25E-005	0	0	0
4194305	2.53E-005	2.49E-004	0	0	0
