node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	1.52E-001	1.18E+000	3.22E-002	4.85E-004	4.89E-006
5	1.44E+000	2.04E+001	2.20E-002	6.05E-005	6.11E-007
9	4.17E+002	1.09E+000	2.82E-003	7.56E-006	7.64E-008
17	2.24E+002	2.83E-001	3.55E-004	9.45E-007	9.55E-009
33	4.73E+002	4.21E-002	4.45E-005	1.18E-007	1.19E-009
65	1.57E+000	5.49E-003	5.57E-006	1.48E-008	1.49E-010
129	4.83E-001	6.93E-004	6.96E-007	1.84E-009	1.87E-011
257	7.96E-002	8.69E-005	8.70E-008	2.31E-010	5.10E-012
513	1.06E-002	1.09E-005	1.09E-008	3.43E-011	1.81E-011
1025	1.35E-003	1.36E-006	1.36E-009	7.45E-011	7.24E-011
2049	1.70E-004	1.70E-007	1.94E-010	2.98E-010	2.90E-010
4097	2.12E-005	2.12E-008	3.78E-010	1.19E-009	1.15E-009
8193	2.65E-006	2.65E-009	1.51E-009	4.74E-009	4.62E-009
16385	3.32E-007	3.37E-010	6.05E-009	1.90E-008	1.85E-008
32769	4.15E-008	1.53E-010	2.42E-008	7.60E-008	7.40E-008
65537	5.19E-009	9.85E-010	9.66E-008	3.03E-007	2.95E-007
131073	1.80E-009	2.11E-009	3.86E-007	1.21E-006	1.18E-006
262145	2.09E-009	1.83E-008	1.55E-006	4.86E-006	4.73E-006
524289	6.63E-009	8.31E-008	6.22E-006	1.97E-005	1.91E-005
1048577	4.27E-008	2.97E-007	2.50E-005	7.86E-005	7.65E-005
2097153	5.27E-008	1.05E-006	0	0	0
4194305	7.97E-007	3.98E-006	0	0	0
