node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	6.58E+001	5.11E+001	2.11E+000	5.35E-002	5.69E-004
5	6.27E+002	5.83E+001	1.94E+000	2.67E-002	2.85E-004
9	4.74E+002	4.51E+001	9.98E-001	1.34E-002	1.42E-004
17	4.09E+002	4.01E+001	5.02E-001	6.68E-003	7.12E-005
33	2.47E+002	2.38E+001	2.52E-001	3.34E-003	3.56E-005
65	4.34E+002	1.24E+001	1.26E-001	1.67E-003	1.78E-005
129	4.44E+002	6.27E+000	6.30E-002	8.34E-004	8.90E-006
257	2.88E+002	3.15E+000	3.15E-002	4.17E-004	4.45E-006
513	1.54E+002	1.57E+000	1.57E-002	2.09E-004	2.22E-006
1025	7.83E+001	7.87E-001	7.87E-003	1.04E-004	1.11E-006
2049	3.93E+001	3.93E-001	3.93E-003	5.22E-005	5.56E-007
4097	1.97E+001	1.97E-001	1.97E-003	2.61E-005	2.79E-007
8193	9.84E+000	9.84E-002	9.84E-004	1.30E-005	1.55E-007
16385	4.92E+000	4.92E-002	4.92E-004	6.52E-006	2.85E-007
32769	2.46E+000	2.46E-002	2.46E-004	3.43E-006	1.11E-006
65537	1.23E+000	1.23E-002	1.23E-004	4.63E-006	4.44E-006
131073	6.15E-001	6.15E-003	6.16E-005	1.74E-005	1.61E-005
262145	3.07E-001	3.07E-003	3.48E-005	6.34E-005	7.10E-005
524289	1.54E-001	1.54E-003	6.75E-005	2.54E-004	2.57E-004
1048577	7.69E-002	7.69E-004	2.63E-004	1.11E-003	1.12E-003
2097153	3.84E-002	3.93E-004	0	0	0
4194305	1.92E-002	3.86E-004	0	0	0
8388609	9.61E-003	1.34E-003	0	0	0
