node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	9.94E-001	5.83E-001	8.78E-002	3.45E-003	3.68E-005
5	5.26E-002	3.37E+000	6.28E-002	8.62E-004	9.19E-006
9	1.10E+001	6.75E-001	1.61E-002	2.15E-004	2.30E-006
17	7.23E+000	3.25E-001	4.05E-003	5.39E-005	5.74E-007
33	1.26E+001	9.61E-002	1.02E-003	1.35E-005	1.44E-007
65	7.46E-001	2.51E-002	2.54E-004	3.37E-006	3.59E-008
129	4.48E-001	6.33E-003	6.35E-005	8.42E-007	8.97E-009
257	1.46E-001	1.59E-003	1.59E-005	2.10E-007	2.24E-009
513	3.88E-002	3.97E-004	3.97E-006	5.26E-008	5.62E-010
1025	9.87E-003	9.92E-005	9.92E-007	1.32E-008	1.95E-010
2049	2.48E-003	2.48E-005	2.48E-007	3.33E-009	5.46E-010
4097	6.20E-004	6.20E-006	6.20E-008	2.26E-009	2.17E-009
8193	1.55E-004	1.55E-006	1.55E-008	8.44E-009	8.68E-009
16385	3.88E-005	3.88E-007	5.70E-009	3.39E-008	3.48E-008
32769	9.69E-006	9.69E-008	1.67E-008	1.35E-007	1.39E-007
65537	2.42E-006	2.42E-008	6.68E-008	5.40E-007	5.55E-007
131073	6.06E-007	6.62E-009	2.67E-007	2.16E-006	1.21E-006
262145	1.51E-007	1.09E-008	1.07E-006	4.74E-006	8.89E-006
524289	3.79E-008	4.33E-008	4.30E-006	1.91E-005	1.97E-005
1048577	9.62E-009	1.72E-007	1.73E-005	1.40E-004	1.44E-004
2097153	7.27E-009	6.87E-007	0	0	0
4194305	2.78E-008	2.74E-006	0	0	0
8388609	2.05E-007	1.10E-005	0	0	0
