node number	L=1e-2	L1e-1	L=1	L1e1	L=1e2
3	1.67E-004	1.29E-002	3.54E-003	2.67E-004	2.84E-006
5	1.59E-003	2.24E-001	2.42E-003	3.33E-005	3.54E-007
9	4.59E-001	1.20E-002	3.11E-004	4.16E-006	4.43E-008
17	2.46E-001	3.11E-003	3.91E-005	5.19E-007	5.54E-009
33	5.21E-001	4.63E-004	4.90E-006	6.49E-008	6.92E-010
65	1.72E-003	6.04E-005	6.12E-007	8.12E-009	8.65E-011
129	5.31E-004	7.63E-006	7.65E-008	1.01E-009	1.08E-011
257	8.76E-005	9.56E-007	9.57E-009	1.27E-010	2.96E-012
513	1.17E-005	1.20E-007	1.20E-009	1.89E-011	1.05E-011
1025	1.49E-006	1.49E-008	1.50E-010	4.10E-011	4.20E-011
2049	1.87E-007	1.87E-009	2.14E-011	1.64E-010	1.68E-010
4097	2.34E-008	2.34E-010	4.16E-011	6.52E-010	6.70E-010
8193	2.92E-009	2.92E-011	1.66E-010	2.61E-009	2.68E-009
16385	3.65E-010	3.71E-012	6.66E-010	1.05E-008	1.08E-008
32769	4.56E-011	2.72E-012	2.66E-009	4.18E-008	4.29E-008
65537	5.71E-012	1.08E-011	1.06E-008	1.67E-007	1.71E-007
131073	1.98E-012	6.55E-011	4.25E-008	6.68E-007	3.76E-007
262145	2.30E-012	2.01E-010	1.71E-007	1.47E-006	2.74E-006
524289	7.29E-012	9.14E-010	6.84E-007	5.90E-006	6.09E-006
1048577	6.48E-012	3.27E-009	2.75E-006	4.32E-005	4.44E-005
2097153	5.79E-011	1.16E-008	0	0	0
4194305	8.77E-010	4.38E-008	0	0	0
8388609	4.41E-008	1.75E-007	0	0	0
