node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	4.86E-015	4.86E-015	4.86E-015	4.86E-015	4.86E-015
5	8.29E-015	8.29E-015	8.29E-015	8.29E-015	8.29E-015
9	1.45E-014	1.45E-014	1.45E-014	1.45E-014	1.45E-014
17	2.55E-014	2.55E-014	2.55E-014	2.55E-014	2.55E-014
33	5.52E-014	5.52E-014	5.52E-014	5.52E-014	5.52E-014
65	1.11E-013	1.11E-013	1.11E-013	1.11E-013	1.11E-013
129	2.28E-013	2.28E-013	2.28E-013	2.28E-013	2.28E-013
257	4.48E-013	4.48E-013	4.48E-013	4.48E-013	4.48E-013
513	8.81E-013	8.81E-013	8.81E-013	8.81E-013	8.81E-013
1025	1.73E-012	1.73E-012	1.73E-012	1.73E-012	1.73E-012
2049	3.51E-012	3.51E-012	3.51E-012	3.51E-012	3.51E-012
4097	7.02E-012	7.02E-012	7.02E-012	7.02E-012	7.02E-012
8193	1.39E-011	1.39E-011	1.39E-011	1.39E-011	1.39E-011
16385	2.78E-011	2.78E-011	2.78E-011	2.78E-011	2.78E-011
32769	5.59E-11	5.59E-11	5.59E-11	5.59E-11	5.59E-11
