node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	3.66E-016	3.66E-016	3.66E-016	3.66E-016	3.66E-016
5	4.06E-016	4.06E-016	4.06E-016	4.06E-016	4.06E-016
9	8.97E-016	8.97E-016	8.97E-016	8.97E-016	8.97E-016
17	2.05E-015	2.05E-015	2.05E-015	2.05E-015	2.05E-015
33	4.78E-015	4.78E-015	4.78E-015	4.78E-015	4.78E-015
65	8.19E-015	8.19E-015	8.19E-015	8.19E-015	8.19E-015
129	1.97E-014	1.97E-014	1.97E-014	1.97E-014	1.97E-014
257	3.23E-014	3.23E-014	3.23E-014	3.23E-014	3.23E-014
513	6.66E-014	6.66E-014	6.66E-014	6.66E-014	6.66E-014
1025	1.32E-013	1.32E-013	1.32E-013	1.32E-013	1.32E-013
2049	2.63E-013	2.63E-013	2.63E-013	2.63E-013	2.63E-013
4097	5.19E-013	5.19E-013	5.19E-013	5.19E-013	5.19E-013
8193	1.11E-012	1.11E-012	1.11E-012	1.11E-012	1.11E-012
16385	1.50E-012	1.50E-012	1.50E-012	1.50E-012	1.50E-012
32769	4.33E-12	4.33E-12	4.33E-12	4.33E-12	4.33E-12
