node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	3.01E-016	3.01E-016	2.61E-016	2.30E-016	2.30E-016
5	3.72E-016	3.72E-016	3.19E-016	3.40E-016	3.40E-016
9	7.28E-016	7.28E-016	6.67E-016	6.91E-016	6.91E-016
17	8.02E-016	8.02E-016	7.54E-016	7.72E-016	7.72E-016
33	7.43E-016	7.43E-016	6.91E-016	7.09E-016	7.09E-016
65	1.55E-015	1.55E-015	1.49E-015	1.52E-015	1.52E-015
129	6.49E-015	6.49E-015	6.45E-015	6.46E-015	6.46E-015
257	5.55E-015	5.55E-015	5.50E-015	5.52E-015	5.52E-015
513	1.23E-014	1.23E-014	1.23E-014	1.23E-014	1.23E-014
1025	3.09E-014	3.09E-014	3.08E-014	3.09E-014	3.09E-014
2049	5.49E-014	5.49E-014	5.48E-014	5.48E-014	5.48E-014
4097	1.27E-013	1.27E-013	1.27E-013	1.27E-013	1.27E-013
8193	1.87E-013	1.87E-013	1.87E-013	1.87E-013	1.87E-013
16385	8.88E-014	8.88E-014	8.89E-014	8.88E-014	8.88E-014
32769	8.70E-13	8.70E-13	8.70E-13	8.70E-13	8.70E-13
