node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	4.86E-011	4.46E-013	5.13E-015	3.62E-017	4.69E-019
5	6.83E-011	6.88E-013	5.74E-015	8.26E-017	6.76E-019
9	1.37E-010	1.63E-012	1.38E-014	1.47E-016	1.36E-018
17	2.86E-010	2.80E-012	2.91E-014	2.54E-016	2.79E-018
33	5.46E-010	6.59E-012	5.99E-014	6.70E-016	6.60E-018
65	1.10E-009	1.08E-011	1.10E-013	1.09E-015	1.14E-017
129	2.23E-009	2.21E-011	2.11E-013	2.14E-015	2.22E-017
257	4.41E-009	4.57E-011	4.37E-013	4.39E-015	4.56E-017
513	8.64E-009	9.09E-011	8.76E-013	8.90E-015	9.09E-017
1025	1.75E-008	1.78E-010	1.71E-012	1.74E-014	1.80E-016
2049	3.48E-008	3.63E-010	3.48E-012	3.53E-014	3.63E-016
4097	6.97E-008	7.16E-010	6.95E-012	7.08E-014	7.21E-016
8193	1.40E-007	1.45E-009	1.39E-011	1.41E-013	1.44E-015
16385	2.23E-007	3.16E-009	2.30E-011	2.50E-013	3.91E-015
32769	5.58E-07	5.80E-09	5.55E-11	5.68E-13	5.75E-15
