node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	2.97E-012	3.69E-014	3.83E-016	3.51E-018	3.71E-020
5	6.40E-012	6.35E-014	5.63E-016	5.86E-018	8.88E-020
9	1.61E-011	1.15E-013	1.39E-015	1.57E-017	1.36E-019
17	2.80E-011	4.10E-013	3.91E-015	2.27E-017	3.17E-019
33	5.98E-011	8.28E-013	8.92E-015	7.63E-017	8.32E-019
65	1.18E-010	1.22E-012	1.25E-014	1.26E-016	1.12E-018
129	2.50E-010	2.51E-012	2.46E-014	2.50E-016	2.44E-018
257	5.12E-010	4.54E-012	4.59E-014	5.10E-016	5.43E-018
513	1.00E-009	8.85E-012	9.95E-014	9.40E-016	9.74E-018
1025	2.05E-009	1.92E-011	2.05E-013	2.03E-015	1.96E-017
2049	3.96E-009	3.84E-011	3.65E-013	3.78E-015	4.19E-017
4097	7.75E-009	8.44E-011	8.09E-013	8.04E-015	7.93E-017
8193	1.58E-008	1.64E-010	1.60E-012	1.56E-014	1.55E-016
16385	3.70E-008	3.27E-010	3.30E-012	3.16E-014	2.94E-016
32769	6.32E-08	6.06E-10	6.53E-12	6.39E-14	6.41E-16
