node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	1.23E-012	1.09E-014	1.26E-016	1.49E-018	1.34E-020
5	1.79E-012	1.77E-014	1.83E-016	2.22E-018	2.33E-020
9	1.74E-012	1.97E-014	1.88E-016	2.00E-018	1.78E-020
17	2.10E-012	2.02E-014	2.92E-016	2.30E-018	1.93E-020
33	2.22E-012	5.48E-014	7.83E-016	3.26E-018	5.70E-020
65	4.19E-012	3.21E-014	3.16E-016	3.29E-018	4.26E-020
129	4.89E-012	2.92E-014	5.55E-016	4.45E-018	2.63E-020
257	6.70E-012	9.81E-014	1.26E-015	4.83E-018	1.59E-019
513	1.11E-011	4.29E-013	1.82E-015	1.27E-017	1.38E-019
1025	4.56E-011	3.09E-013	3.04E-015	1.73E-017	2.76E-019
2049	2.46E-011	7.97E-013	1.30E-014	4.18E-017	6.82E-019
4097	9.56E-011	2.15E-012	9.94E-015	1.06E-016	1.01E-018
8193	1.18E-010	2.89E-012	1.34E-014	1.50E-016	2.16E-018
16385	2.37E-009	8.34E-012	3.05E-013	1.21E-015	6.04E-017
32769	1.02E-09	1.98E-11	1.24E-13	4.94E-16	3.13E-18
