node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	1.01E-014	1.01E-014	1.01E-014	5.18E-015	1.01E-014
5	3.48E-014	3.48E-014	3.48E-014	3.26E-014	3.48E-014
9	1.56E-013	1.56E-013	1.56E-013	1.26E-013	1.56E-013
17	4.41E-013	4.41E-013	4.41E-013	4.77E-013	4.41E-013
33	2.04E-012	2.04E-012	2.04E-012	1.80E-012	2.04E-012
65	7.91E-012	7.91E-012	7.91E-012	7.96E-012	7.91E-012
129	3.09E-011	3.09E-011	3.09E-011	2.98E-011	3.09E-011
257	1.20E-010	1.20E-010	1.20E-010	1.21E-010	1.20E-010
513	4.97E-010	4.97E-010	4.97E-010	4.96E-010	4.97E-010
1025	1.96E-009	1.96E-009	1.96E-009	1.96E-009	1.96E-009
2049	7.79E-009	7.79E-009	7.79E-009	7.79E-009	7.79E-009
4097	3.19E-008	3.19E-008	3.19E-008	3.20E-008	3.19E-008
8193	1.26E-007	1.26E-007	1.26E-007	1.26E-007	1.26E-007
16385	5.06E-007	5.06E-007	5.06E-007	5.06E-007	5.06E-007
32769	2.02E-006	2.02E-006	2.02E-006	2.02E-006	2.02E-006
65537	8.09E-006	8.09E-006	8.09E-006	8.09E-006	8.09E-006
131073	3.23E-005	3.23E-005	3.23E-005	3.23E-005	3.23E-005
262145	1.29E-004	1.29E-004	1.29E-004	1.29E-004	1.29E-004
