node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	1.88E-015	1.88E-015	1.88E-015	1.59E-015	1.88E-015
5	6.09E-015	6.09E-015	6.09E-015	5.84E-015	6.09E-015
9	1.92E-014	1.92E-014	1.92E-014	1.83E-014	1.92E-014
17	6.61E-014	6.61E-014	6.61E-014	6.53E-014	6.61E-014
33	2.46E-013	2.46E-013	2.46E-013	2.45E-013	2.46E-013
65	9.40E-013	9.40E-013	9.40E-013	9.39E-013	9.40E-013
129	3.70E-012	3.70E-012	3.70E-012	3.70E-012	3.70E-012
257	1.48E-011	1.48E-011	1.48E-011	1.48E-011	1.48E-011
513	5.90E-011	5.90E-011	5.90E-011	5.90E-011	5.90E-011
1025	2.36E-010	2.36E-010	2.36E-010	2.36E-010	2.36E-010
2049	9.44E-010	9.44E-010	9.44E-010	9.44E-010	9.44E-010
4097	3.76E-009	3.76E-009	3.76E-009	3.76E-009	3.76E-009
8193	1.50E-008	1.50E-008	1.50E-008	1.50E-008	1.50E-008
16385	6.04E-008	6.04E-008	6.04E-008	6.04E-008	6.04E-008
32769	2.41E-007	2.41E-007	2.41E-007	2.41E-007	2.41E-007
65537	9.63E-007	9.63E-007	9.63E-007	9.63E-007	9.63E-007
131073	3.85E-006	3.85E-006	3.85E-006	3.85E-006	3.85E-006
262145	1.54E-005	1.54E-005	1.54E-005	1.54E-005	1.54E-005
