node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	5.65E-016	5.96E-016	5.70E-016	3.59E-016	6.83E-016
5	1.79E-015	1.81E-015	1.72E-015	1.61E-015	1.83E-015
9	5.53E-015	5.52E-015	5.48E-015	5.43E-015	5.55E-015
17	1.98E-014	1.98E-014	1.98E-014	1.97E-014	1.98E-014
33	7.48E-014	7.48E-014	7.47E-014	7.48E-014	7.48E-014
65	2.88E-013	2.88E-013	2.88E-013	2.88E-013	2.88E-013
129	1.14E-012	1.14E-012	1.14E-012	1.14E-012	1.14E-012
257	4.56E-012	4.56E-012	4.56E-012	4.56E-012	4.56E-012
513	1.82E-011	1.82E-011	1.82E-011	1.82E-011	1.82E-011
1025	7.28E-011	7.28E-011	7.28E-011	7.28E-011	7.28E-011
2049	2.91E-010	2.91E-010	2.91E-010	2.91E-010	2.91E-010
4097	1.16E-009	1.16E-009	1.16E-009	1.16E-009	1.16E-009
8193	4.64E-009	4.64E-009	4.64E-009	4.64E-009	4.64E-009
16385	1.86E-008	1.86E-008	1.86E-008	1.86E-008	1.86E-008
32769	7.44E-008	7.44E-008	7.44E-008	7.44E-008	7.44E-008
65537	2.97E-007	2.97E-007	2.97E-007	2.97E-007	2.97E-007
131073	1.19E-006	1.19E-006	1.19E-006	1.19E-006	1.19E-006
262145	4.75E-006	4.75E-006	4.75E-006	4.75E-006	4.75E-006
