node number	L1E-4	L=0.01	L=1	L=100	L1E4
3	3.16E-019	2.78E-017	0.00E+000	3.31E-013	4.24E-011
5	2.49E-018	2.08E-016	2.14E-014	2.73E-012	2.18E-010
9	7.95E-018	5.09E-016	7.66E-014	6.72E-012	8.16E-010
17	3.72E-017	2.54E-015	2.83E-013	2.81E-011	2.33E-009
33	1.11E-016	9.83E-015	1.15E-012	1.04E-010	1.14E-008
65	4.73E-016	4.30E-014	4.00E-012	4.83E-010	3.97E-008
129	1.90E-015	1.86E-013	1.80E-011	1.69E-009	1.81E-007
257	7.32E-015	7.57E-013	6.80E-011	7.46E-009	7.17E-007
513	2.91E-014	3.00E-012	2.75E-010	2.86E-008	2.76E-006
1025	1.15E-013	1.21E-011	1.05E-009	1.19E-007	1.16E-005
2049	4.79E-013	4.80E-011	4.32E-009	4.66E-007	4.67E-005
4097	1.89E-012	1.90E-010	1.73E-008	1.88E-006	1.83E-004
8193	7.52E-012	7.66E-010	6.91E-008	7.60E-006	7.35E-004
16385	2.98E-011	3.04E-009	2.76E-007	3.05E-005	2.93E-003
32769	1.19E-010	1.21E-008	1.10E-006	1.21E-004	1.18E-002
65537	4.79E-010	4.88E-008	4.41E-006	4.85E-004	4.71E-002
131073	1.91E-009	1.95E-007	1.76E-005	1.94E-003	1.89E-001
262145	7.63E-009	7.79E-007	7.07E-005	7.76E-003	7.55E-001
524289	3.06E-008	3.12E-006	2.83E-004	3.10E-002	3.02E+000
1048577	1.22E-007	1.25E-005	1.13E-003	1.24E-001	1.21E+001
