node number	L1E-4	L=0.01	L=1	L=100	L1E4
3	6.45E-020	4.65E-018	5.60E-016	9.25E-014	8.32E-012
5	3.09E-019	2.88E-017	3.28E-015	3.73E-013	2.94E-011
9	1.01E-018	1.01E-016	1.03E-014	1.06E-012	1.02E-010
17	3.72E-018	3.73E-016	3.70E-014	3.83E-012	3.73E-010
33	1.40E-017	1.40E-015	1.40E-013	1.40E-011	1.41E-009
65	5.40E-017	5.40E-015	5.40E-013	5.41E-011	5.42E-009
129	2.13E-016	2.13E-014	2.13E-012	2.13E-010	2.14E-008
257	8.53E-016	8.53E-014	8.53E-012	8.53E-010	8.53E-008
513	3.41E-015	3.40E-013	3.41E-011	3.41E-009	3.41E-007
1025	1.36E-014	1.36E-012	1.36E-010	1.36E-008	1.36E-006
2049	5.45E-014	5.45E-012	5.45E-010	5.45E-008	5.45E-006
4097	2.17E-013	2.17E-011	2.17E-009	2.17E-007	2.17E-005
8193	8.68E-013	8.68E-011	8.68E-009	8.68E-007	8.68E-005
16385	3.48E-012	3.48E-010	3.48E-008	3.48E-006	3.48E-004
32769	1.39E-011	1.39E-009	1.39E-007	1.39E-005	1.39E-003
65537	5.55E-011	5.55E-009	5.55E-007	5.55E-005	5.55E-003
131073	2.22E-010	2.22E-008	2.22E-006	2.22E-004	2.22E-002
262145	8.89E-010	8.89E-008	8.89E-006	8.89E-004	8.89E-002
524289	3.59E-009	3.59E-007	3.59E-005	3.59E-003	3.59E-001
1048577	1.44E-008	1.44E-006	1.44E-004	1.44E-002	1.44E+000
