node number	L1E-4	L=0.01	L=1	L=100	L1E4
3	1.87E-020	2.00E-018	1.45E-016	2.52E-014	2.89E-012
5	9.33E-020	8.84E-018	9.17E-016	1.07E-013	9.41E-012
9	3.01E-019	3.05E-017	3.06E-015	3.18E-013	3.10E-011
17	1.12E-018	1.14E-016	1.13E-014	1.15E-012	1.14E-010
33	4.28E-018	4.31E-016	4.31E-014	4.31E-012	4.32E-010
65	1.66E-017	1.66E-015	1.66E-013	1.66E-011	1.66E-009
129	6.57E-017	6.56E-015	6.57E-013	6.57E-011	6.57E-009
257	2.63E-016	2.63E-014	2.63E-012	2.63E-010	2.63E-008
513	1.05E-015	1.05E-013	1.05E-011	1.05E-009	1.05E-007
1025	4.20E-015	4.20E-013	4.20E-011	4.20E-009	4.20E-007
2049	1.68E-014	1.68E-012	1.68E-010	1.68E-008	1.68E-006
4097	6.70E-014	6.70E-012	6.70E-010	6.70E-008	6.70E-006
8193	2.68E-013	2.68E-011	2.68E-009	2.68E-007	2.68E-005
16385	1.08E-012	1.08E-010	1.08E-008	1.08E-006	1.08E-004
32769	4.29E-012	4.29E-010	4.29E-008	4.29E-006	4.29E-004
65537	1.71E-011	1.71E-009	1.71E-007	1.71E-005	1.71E-003
131073	6.86E-011	6.86E-009	6.86E-007	6.86E-005	6.86E-003
262145	2.74E-010	2.74E-008	2.74E-006	2.74E-004	2.74E-002
524289	1.11E-009	1.11E-007	1.11E-005	1.11E-003	1.11E-001
1048577	4.44E-009	4.44E-007	4.44E-005	4.44E-003	4.44E-001
