node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	2.97E-001	1.29E-02	2.25E-03	8.72E-05	2.66E-06	0.00E+00
5	1.48E-001	3.73E-03	2.84E-04	5.43E-06	8.62E-08	0.00E+00
9	7.41E-002	9.40E-04	3.56E-05	3.39E-07	2.71E-09	0.00E+00
17	3.70E-002	2.35E-04	4.45E-06	2.12E-08	8.48E-11	0.00E+00
33	1.85E-002	5.89E-05	5.56E-07	1.32E-09	2.64E-12	0.00E+00
65	9.26E-003	1.47E-05	6.95E-08	8.28E-11	1.57E-13	0.00E+00
129	4.63E-003	3.68E-06	8.69E-09	5.13E-12	3.02E-13	0.00E+00
257	2.31E-003	9.20E-07	1.09E-09	5.62E-13	4.80E-13	0.00E+00
513	1.16E-003	2.30E-07	1.36E-10	1.08E-12	1.05E-12	0.00E+00
1025	5.79E-004	5.75E-08	1.70E-11	1.75E-12	2.89E-12	0.00E+00
2049	2.89E-004	1.44E-08	2.64E-12	3.55E-12	6.04E-12	0.00E+00
4097	1.45E-004	3.59E-09	2.46E-12	8.42E-12	8.54E-12	0.00E+00
8193	7.23E-005	8.99E-10	7.01E-12	1.63E-11	2.06E-11	0.00E+00
16385	3.62E-005	2.25E-10	1.01E-11	3.63E-11	4.39E-11	0.00E+00
32769	1.81E-005	5.80E-11	2.94E-11	4.94E-11	8.54E-11	0.00E+00
65537	9.04E-006	3.27E-11	4.51E-11	8.41E-11	1.57E-10	0.00E+00
131073	4.52E-006	3.60E-11	1.35E-10	2.71E-10	2.41E-10	0.00E+00
262145	2.26E-006	8.49E-11	1.75E-10	4.23E-10	5.48E-10	0.00E+00
524289	1.13E-006	1.62E-10	0	0	0	0.00E+00
1048577	5.65E-007	2.82E-10	0	0	0	0.00E+00
2097153	2.83E-07	0	0	0	0	0.00E+00
4194305	1.41E-07	0	0	0	0	0.00E+00
8388609	7.06E-08	0	0	0	0	0
16777217	3.53E-08	0	0	0	0	0
