node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	3.56E-002	7.33E-04	7.71E-05	2.08E-06	5.03E-08	0.00E+00
5	8.89E-003	1.09E-04	4.87E-06	6.46E-08	8.14E-10	0.00E+00
9	2.22E-003	1.37E-05	3.05E-07	2.02E-09	1.28E-11	0.00E+00
17	5.55E-004	1.72E-06	1.91E-08	6.30E-11	1.99E-13	0.00E+00
33	1.39E-004	2.15E-07	1.19E-09	1.97E-12	3.15E-15	0.00E+00
65	3.47E-005	2.69E-08	7.45E-11	6.17E-14	2.88E-15	0.00E+00
129	8.68E-006	3.37E-09	4.65E-12	3.10E-14	2.24E-14	0.00E+00
257	2.17E-006	4.21E-10	2.90E-13	3.06E-14	4.37E-14	0.00E+00
513	5.42E-007	5.26E-11	3.67E-14	7.04E-14	1.24E-13	0.00E+00
1025	1.36E-007	6.58E-12	3.52E-14	1.21E-14	8.29E-14	0.00E+00
2049	3.39E-008	8.26E-13	3.88E-14	2.42E-13	4.09E-13	0.00E+00
4097	8.47E-009	1.59E-13	9.47E-14	4.75E-13	3.53E-13	0.00E+00
8193	2.12E-009	3.70E-13	1.78E-13	1.78E-12	1.74E-12	0.00E+00
16385	5.30E-010	5.51E-13	1.05E-12	1.13E-12	9.76E-13	0.00E+00
32769	1.32E-010	8.41E-13	2.22E-12	8.48E-13	1.12E-11	0.00E+00
65537	3.31E-011	1.66E-12	2.01E-12	3.03E-12	1.43E-11	0.00E+00
131073	8.28E-012	3.35E-12	1.70E-11	1.03E-11	1.10E-11	0.00E+00
262145	2.07E-012	2.44E-11	1.13E-11	4.02E-11	3.22E-11	0.00E+00
524289	4.98E-013	3.36E-11	0	0	0	0.00E+00
1048577	1.32E-013	1.03E-11	0	0	0	0.00E+00
2097153	7.20E-14	0	0	0	0	0.00E+00
4194305	1.70E-13	0	0	0	0	0.00E+00
8388609	1.20E-13	0	0	0	0	0
16777217	1.58E-13	0	0	0	0	0
