node number	P0/P1	P1/P2	P2/P3	P3/P4	P4/P5	P5/P6
3	2.12E-001	1.95E-02	1.16E-03	1.91E-05	1.92E-06	0.00E+00
5	8.84E-002	4.71E-03	1.42E-04	1.46E-06	6.13E-08	0.00E+00
9	3.80E-002	1.16E-03	1.76E-05	9.25E-08	1.93E-09	0.00E+00
17	1.71E-002	2.90E-04	2.19E-06	5.80E-09	6.03E-11	0.00E+00
33	8.05E-003	7.23E-05	2.73E-07	3.63E-10	1.89E-12	0.00E+00
65	3.89E-003	1.81E-05	3.41E-08	2.27E-11	5.92E-14	0.00E+00
129	1.91E-003	4.51E-06	4.26E-09	1.42E-12	2.29E-14	0.00E+00
257	9.45E-004	1.13E-06	5.33E-10	9.62E-14	4.03E-14	0.00E+00
513	4.70E-004	2.82E-07	6.66E-11	5.15E-14	9.90E-14	0.00E+00
1025	2.34E-004	7.05E-08	8.33E-12	2.67E-14	1.01E-13	0.00E+00
2049	1.17E-004	1.76E-08	1.08E-12	1.90E-13	3.35E-13	0.00E+00
4097	5.85E-005	4.41E-09	3.32E-13	3.60E-13	4.04E-13	0.00E+00
8193	2.92E-005	1.10E-09	5.49E-13	1.23E-12	1.41E-12	0.00E+00
16385	1.46E-005	2.75E-10	1.59E-12	1.02E-12	1.36E-12	0.00E+00
32769	7.31E-006	6.89E-11	3.25E-12	1.19E-12	8.12E-12	0.00E+00
65537	3.65E-006	1.77E-11	3.49E-12	2.51E-12	1.15E-11	0.00E+00
131073	1.83E-006	7.28E-12	1.78E-11	8.93E-12	1.28E-11	0.00E+00
262145	9.14E-007	2.09E-11	2.19E-11	2.90E-11	3.16E-11	0.00E+00
524289	4.57E-007	2.60E-11	0	0	0	0.00E+00
1048577	2.28E-007	3.01E-11	0	0	0	0.00E+00
2097153	1.14E-07	0	0	0	0	0.00E+00
4194305	5.71E-08	0	0	0	0	0.00E+00
8388609	2.86E-08	0	0	0	0	0
16777217	1.43E-08	0	0	0	0	0
