node number	P1	P2	P3	P4	P5	P6
3	0.00E+000	2.91E-001	1.10E-002	1.91E-003	7.50E-005	0.00E+000
5	0.00E+000	1.46E-001	3.22E-003	2.41E-004	4.67E-006	0.00E+000
9	0.00E+000	7.27E-002	8.13E-004	3.02E-005	2.91E-007	0.00E+000
17	0.00E+000	3.64E-002	2.04E-004	3.78E-006	1.82E-008	0.00E+000
33	0.00E+000	1.82E-002	5.10E-005	4.72E-007	1.14E-009	0.00E+000
65	0.00E+000	9.09E-003	1.27E-005	5.90E-008	1.88E-010	0.00E+000
129	0.00E+000	4.55E-003	3.19E-006	7.44E-009	7.45E-010	0.00E+000
257	0.00E+000	2.27E-003	7.96E-007	1.78E-009	2.82E-009	0.00E+000
513	0.00E+000	1.14E-003	1.99E-007	4.73E-009	1.09E-008	0.00E+000
1025	0.00E+000	5.68E-004	5.34E-008	1.96E-008	5.42E-008	0.00E+000
2049	0.00E+000	2.84E-004	3.96E-008	8.59E-008	1.62E-007	0.00E+000
4097	0.00E+000	1.42E-004	1.62E-007	3.21E-007	8.33E-007	0.00E+000
8193	0.00E+000	7.10E-005	5.52E-007	1.69E-006	2.78E-006	0.00E+000
16385	0.00E+000	3.56E-005	2.39E-006	4.76E-006	1.23E-005	0.00E+000
32769	0.00E+000	1.85E-005	6.89E-006	2.02E-005	4.95E-005	0.00E+000
65537	0.00E+000	1.42E-005	4.73E-005	8.05E-005	2.16E-004	0.00E+000
131073	0.00E+000	4.13E-005	1.47E-004	3.87E-004	6.35E-004	0.00E+000
262145	0.00E+000	1.45E-004	6.95E-004	1.44E-003	4.25E-003	0.00E+000
524289	0.00E+000	5.22E-004	2.75E-003	5.95E-003	1.30E-002	0.00E+000
1048577	0.00E+000	0	0	0	0	0.00E+000
2097153	0.00E+000	0	0	0	0	0
4194305	0.00E+000	0	0	0	0	0
