node number	P1	P2	P3	P4	P5	P6
3	2.26E-001	1.88E-002	4.12E-004	5.02E-005	1.46E-006	0.00E+000
5	1.13E-001	4.69E-003	6.20E-005	3.17E-006	4.54E-008	0.00E+000
9	5.66E-002	1.17E-003	7.84E-006	1.99E-007	1.42E-009	0.00E+000
17	2.83E-002	2.93E-004	9.82E-007	1.24E-008	4.43E-011	0.00E+000
33	1.41E-002	7.34E-005	1.23E-007	7.78E-010	5.91E-012	0.00E+000
65	7.07E-003	1.83E-005	1.54E-008	5.34E-011	4.81E-012	0.00E+000
129	3.54E-003	4.59E-006	1.92E-009	7.52E-012	5.64E-011	0.00E+000
257	1.77E-003	1.15E-006	3.06E-010	1.49E-010	1.79E-010	0.00E+000
513	8.84E-004	2.87E-007	3.58E-010	9.65E-010	1.38E-009	0.00E+000
1025	4.42E-004	7.16E-008	3.64E-009	3.11E-009	1.11E-009	0.00E+000
2049	2.21E-004	1.80E-008	5.22E-009	6.54E-009	1.87E-008	0.00E+000
4097	1.10E-004	9.46E-009	1.98E-008	2.09E-008	3.40E-008	0.00E+000
8193	5.52E-005	6.05E-009	6.96E-008	5.41E-008	2.18E-007	0.00E+000
16385	2.76E-005	1.17E-007	4.40E-007	5.12E-007	5.30E-007	0.00E+000
32769	1.38E-005	4.76E-007	3.90E-007	1.99E-006	2.35E-006	0.00E+000
65537	6.91E-006	2.80E-006	7.83E-006	1.70E-005	1.06E-005	0.00E+000
131073	3.67E-006	7.27E-006	8.70E-006	1.70E-005	1.22E-004	0.00E+000
262145	4.51E-006	5.47E-005	1.79E-004	1.34E-004	3.86E-004	0.00E+000
524289	1.60E-005	1.74E-004	8.75E-004	6.15E-004	1.94E-003	0.00E+000
1048577	6.37E-005	0	0	0	0	0.00E+000
2097153	2.50E-004	0	0	0	0	0.00E+000
4194305	0	0	0	0	0	0.00E+000
