node number	P1	P2	P3	P4	P5	P6
3	4.46E-002	1.45E-003	2.12E-005	2.02E-006	4.77E-008	0
5	1.10E-002	1.81E-004	1.63E-006	6.39E-008	7.42E-010	0
9	2.76E-003	2.27E-005	1.03E-007	2.00E-009	1.16E-011	0
17	6.88E-004	2.83E-006	6.47E-009	6.26E-011	6.16E-013	0
33	1.72E-004	3.54E-007	4.05E-010	2.47E-012	3.65E-012	0
65	4.30E-005	4.42E-008	2.60E-011	1.02E-011	2.92E-012	0
129	1.08E-005	5.53E-009	3.33E-011	4.27E-012	3.42E-011	0
257	2.69E-006	6.91E-010	8.45E-011	9.46E-011	1.11E-010	0
513	6.72E-007	1.49E-010	2.22E-010	6.14E-010	8.76E-010	0
1025	1.68E-007	1.76E-010	2.32E-009	1.97E-009	7.04E-010	0
2049	4.19E-008	7.53E-010	3.32E-009	4.09E-009	1.19E-008	0
4097	1.11E-008	4.96E-009	1.26E-008	1.33E-008	2.16E-008	0
8193	5.00E-009	3.67E-009	4.41E-008	3.44E-008	1.38E-007	0
16385	1.02E-008	7.42E-008	2.79E-007	3.26E-007	3.35E-007	0
32769	1.16E-007	3.02E-007	2.48E-007	1.27E-006	1.49E-006	0
65537	1.55E-007	1.78E-006	4.98E-006	1.08E-005	6.73E-006	0
131073	6.17E-007	4.48E-006	5.52E-006	1.08E-005	7.73E-005	0
262145	2.46E-006	3.48E-005	1.13E-004	8.51E-005	2.45E-004	0
524289	9.93E-006	1.10E-004	5.56E-004	3.91E-004	1.24E-003	0
1048577	3.99E-005	0	0	0	0	0
2097153	1.54E-004	0	0	0	0	0
4194305	0	0	0	0	0	0
