||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	5.76E-005	2.43E-003
9.88E-006	1.87E-006	1.58E-004
6.21E-007	5.88E-008	9.91E-006
3.88E-008	1.84E-009	6.20E-007
2.43E-009	5.76E-011	3.88E-008
1.52E-010	1.80E-012	2.42E-009
9.48E-012	5.62E-014	1.51E-010
5.93E-013	4.89E-015	9.41E-012
3.69E-014	2.00E-014	6.34E-013
2.50E-015	2.23E-014	8.89E-013
2.11E-015	5.87E-014	1.83E-012
1.94E-015	9.90E-014	3.60E-012
5.77E-015	2.08E-013	7.23E-012
1.12E-014	3.95E-013	1.45E-011
1.79E-014	8.02E-013	2.90E-011
3.70E-014	1.63E-012	5.79E-011
5.29E-014	3.25E-012	1.16E-010
1.14E-013	6.58E-012	2.31E-010
0	0	0
0	0	0
0	0	0
0	0	0
