||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.48E-002	3.75E-001
2.35E-004	6.27E-003	1.94E-001
3.03E-005	1.58E-003	9.77E-002
3.81E-006	3.95E-004	4.90E-002
4.76E-007	9.88E-005	2.45E-002
5.96E-008	2.47E-005	1.22E-002
7.45E-009	6.18E-006	6.12E-003
9.31E-010	1.54E-006	3.06E-003
1.16E-010	3.86E-007	1.53E-003
1.76E-011	9.65E-008	7.66E-004
5.39E-012	2.41E-008	3.83E-004
2.28E-010	6.09E-009	1.91E-004
2.95E-010	1.86E-009	9.57E-005
2.67E-009	9.49E-009	4.79E-005
9.92E-009	3.50E-008	2.39E-005
2.35E-008	8.27E-008	1.33E-005
2.29E-007	8.06E-007	2.31E-005
3.86E-007	1.39E-006	6.78E-005
2.43E-006	9.05E-006	3.08E-004
8.31E-006	2.98E-005	1.27E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
