||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.08E-003	2.70E-002	3.76E-001
1.81E-004	6.64E-003	1.95E-001
2.47E-005	1.60E-003	9.78E-002
3.17E-006	3.96E-004	4.90E-002
3.98E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.22E-011	9.65E-008	7.66E-004
1.53E-012	2.41E-008	3.83E-004
5.23E-013	6.03E-009	1.91E-004
1.41E-012	1.51E-009	9.57E-005
1.39E-011	4.03E-010	4.79E-005
1.20E-010	1.05E-009	2.39E-005
1.32E-010	1.27E-009	1.27E-005
1.92E-009	1.68E-008	1.63E-005
2.08E-009	1.90E-008	6.70E-005
1.31E-008	9.82E-008	2.03E-004
3.48E-008	4.28E-007	9.74E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
