||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.55E-004	3.16E-005	1.63E-003
9.89E-006	9.29E-007	1.01E-004
6.21E-007	2.85E-008	6.08E-006
3.88E-008	9.40E-010	3.70E-007
2.43E-009	3.15E-011	2.26E-008
1.52E-010	1.02E-012	1.40E-009
9.48E-012	7.96E-014	8.80E-011
5.93E-013	1.44E-013	7.07E-012
3.70E-014	2.89E-013	3.77E-012
2.31E-015	5.77E-013	3.92E-012
4.79E-016	1.16E-012	4.51E-012
5.37E-016	2.31E-012	5.98E-012
6.78E-016	4.60E-012	9.18E-012
8.89E-016	9.24E-012	1.57E-011
1.28E-015	1.85E-011	2.88E-011
1.85E-015	3.69E-011	5.50E-011
2.74E-015	7.39E-011	1.07E-010
4.12E-015	1.48E-010	2.11E-010
0	0	0
0	0	0
0	0	0
0	0	0
