||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.04E-012	1.39E-009
9.48E-012	8.00E-014	8.71E-011
5.93E-013	1.44E-013	5.45E-012
3.70E-014	2.92E-013	5.30E-013
2.90E-015	5.76E-013	8.06E-013
1.18E-015	1.15E-012	1.64E-012
6.34E-015	2.31E-012	3.26E-012
5.33E-015	4.61E-012	6.51E-012
6.10E-015	9.25E-012	1.30E-011
1.51E-014	1.84E-011	2.61E-011
2.14E-014	3.70E-011	5.21E-011
4.29E-014	7.39E-011	1.04E-010
9.19E-014	1.48E-010	2.08E-010
0	0	0
0	0	0
0	0	0
0	0	0
