||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
1.75E-009	8.93E-009	1.24E-005
9.80E-009	4.92E-008	1.41E-005
4.08E-008	2.13E-007	5.84E-005
5.45E-008	2.87E-007	2.85E-004
2.18E-007	1.15E-006	1.14E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
