||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
3.09E-008	9.78E-008	1.27E-005
7.54E-007	2.39E-006	2.44E-005
3.02E-006	9.53E-006	6.10E-005
5.63E-006	1.78E-005	2.54E-004
1.22E-004	3.85E-004	2.01E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
